counter,topic,all_reactions,comments,shares,interaction_sum
0,0,63.0,0.0,48.0,111
1,0,0.0,31.0,64.0,95
2,0,7.0,0.0,0.0,7
3,0,33.0,5.0,99.0,137
4,1,0.0,0.0,0.0,0
5,0,245.0,226.0,400.0,871
6,1,29.0,11.0,7.0,47
7,1,0.0,0.0,0.0,0
8,1,0.0,0.0,0.0,0
9,1,0.0,0.0,0.0,0
10,1,0.0,0.0,0.0,0
11,0,319.0,83.0,296.0,698
12,0,40.0,7.0,71.0,118
13,0,36.0,5.0,23.0,64
14,0,10.0,4.0,7.0,21
15,0,93.0,10.0,77.0,180
16,0,24.0,0.0,6.0,30
17,0,22.0,0.0,9.0,31
18,0,129.0,41.0,120.0,290
19,0,0.0,55.0,98.0,153
20,0,45.0,0.0,21.0,66
21,0,12.0,0.0,6.0,18
22,0,21.0,2.0,16.0,39
23,0,66.0,7.0,38.0,111
24,0,36.0,3.0,57.0,96
25,0,90.0,20.0,36.0,146
26,0,82.0,42.0,70.0,194
27,0,82.0,6.0,32.0,120
28,0,575.0,147.0,328.0,1050
29,0,58.0,8.0,52.0,118
30,0,15.0,0.0,6.0,21
31,0,144.0,62.0,59.0,265
32,0,35.0,4.0,9.0,48
33,0,24.0,0.0,10.0,34
34,0,30.0,0.0,25.0,55
35,0,4.0,2.0,10.0,16
36,0,6400.0,37000.0,913.0,44313
37,0,274.0,16.0,550.0,840
38,2,18.0,0.0,27.0,45
39,1,0.0,0.0,0.0,0
40,0,0.0,0.0,0.0,0
41,1,0.0,0.0,0.0,0
42,0,42.0,19.0,264.0,325
43,0,1.0,0.0,0.0,1
44,0,0.0,77.0,184.0,261
45,1,6.0,1.0,3.0,10
46,0,73.0,0.0,45.0,118
47,0,9900.0,14000.0,17308.0,41208
48,1,0.0,0.0,0.0,0
49,0,81.0,25.0,267.0,373
50,0,33000.0,0.0,68984.0,101984
51,0,80.0,0.0,349.0,429
52,1,0.0,0.0,0.0,0
53,0,280.0,0.0,1739.0,2019
54,0,183.0,136.0,157.0,476
55,0,131.0,95.0,121.0,347
56,0,246.0,51.0,401.0,698
57,0,586.0,85.0,340.0,1011
58,0,279.0,177.0,301.0,757
59,0,533.0,0.0,738.0,1271
60,0,113.0,0.0,158.0,271
61,0,279.0,177.0,301.0,757
62,0,344.0,0.0,1173.0,1517
63,0,5.0,0.0,4.0,9
64,0,281.0,98.0,844.0,1223
65,0,261.0,176.0,288.0,725
66,1,12000.0,17000.0,1647.0,30647
67,0,404.0,200.0,21.0,625
68,0,279.0,177.0,301.0,757
69,0,6.0,7.0,5.0,18
70,0,0.0,7.0,5.0,12
71,0,576000.0,107000.0,149257.0,832257
72,1,0.0,0.0,0.0,0
73,0,12.0,0.0,16.0,28
74,1,0.0,0.0,0.0,0
75,0,203.0,0.0,3.0,206
76,0,45.0,2.0,19.0,66
77,0,9800.0,3000.0,912.0,13712
78,1,0.0,0.0,0.0,0
79,0,63000.0,44000.0,624.0,107624
80,0,20000.0,779.0,1265.0,22044
81,1,28.0,0.0,34.0,62
82,1,0.0,0.0,0.0,0
83,1,0.0,0.0,0.0,0
84,0,783.0,39.0,1203.0,2025
85,0,46.0,1.0,87.0,134
86,0,35.0,0.0,64.0,99
87,0,464.0,179.0,856.0,1499
88,1,0.0,0.0,0.0,0
89,0,91.0,22.0,37.0,150
90,1,0.0,0.0,0.0,0
91,0,244.0,41.0,1323.0,1608
92,0,203.0,0.0,385.0,588
93,0,1.0,0.0,5.0,6
94,0,491.0,61.0,962.0,1514
95,0,16.0,5.0,17.0,38
96,0,23.0,0.0,31.0,54
97,0,779.0,238.0,1447.0,2464
98,1,0.0,0.0,0.0,0
99,0,408.0,22.0,46.0,476
100,0,568.0,515.0,1642.0,2725
101,0,779.0,238.0,1447.0,2464
102,0,419.0,0.0,103.0,522
103,2,131.0,68.0,564.0,763
104,1,0.0,0.0,0.0,0
105,0,4.0,0.0,2.0,6
106,1,0.0,0.0,0.0,0
107,1,0.0,0.0,0.0,0
108,1,0.0,0.0,0.0,0
109,0,0.0,16.0,56.0,72
110,0,44.0,34.0,85.0,163
111,1,0.0,0.0,0.0,0
112,0,41.0,0.0,78.0,119
113,0,779.0,238.0,1447.0,2464
114,1,0.0,0.0,0.0,0
115,1,0.0,0.0,0.0,0
116,1,0.0,0.0,0.0,0
117,0,137.0,0.0,528.0,665
118,1,0.0,0.0,0.0,0
119,0,39.0,47.0,394.0,480
120,1,0.0,0.0,0.0,0
121,0,779.0,238.0,1447.0,2464
122,0,1300.0,69.0,39.0,1408
123,0,1400.0,138.0,24.0,1562
124,1,0.0,0.0,0.0,0
125,0,2300.0,641.0,1132.0,4073
126,0,8.0,0.0,10.0,18
127,0,779.0,238.0,1447.0,2464
128,0,282.0,474.0,515.0,1271
129,1,0.0,0.0,0.0,0
130,0,12.0,2.0,6.0,20
131,0,0.0,0.0,24.0,24
132,0,65.0,40.0,54.0,159
133,0,200.0,46.0,208.0,454
134,0,5700.0,17000.0,6417.0,29117
135,1,0.0,0.0,0.0,0
136,0,7.0,1.0,3.0,11
137,0,299.0,0.0,290.0,589
138,1,0.0,0.0,0.0,0
139,0,61.0,12.0,34.0,107
140,0,462.0,261.0,328.0,1051
141,0,676.0,181.0,178.0,1035
142,0,95.0,34.0,13.0,142
143,0,75.0,0.0,113.0,188
144,0,75.0,18.0,231.0,324
145,0,38.0,16.0,342.0,396
146,0,1100.0,0.0,8793.0,9893
147,0,19.0,0.0,79.0,98
148,0,0.0,22.0,6.0,28
149,0,0.0,10.0,10.0,20
150,0,115.0,0.0,52.0,167
151,1,0.0,0.0,0.0,0
152,0,881.0,0.0,1269.0,2150
153,0,14.0,5.0,4.0,23
154,0,47.0,8.0,58.0,113
155,1,0.0,0.0,0.0,0
156,0,67.0,25.0,68.0,160
157,0,84.0,26.0,80.0,190
158,0,6100.0,313.0,987.0,7400
159,1,0.0,0.0,0.0,0
160,0,745.0,262.0,2514.0,3521
161,0,106.0,56.0,258.0,420
162,0,52.0,3.0,107.0,162
163,0,18.0,0.0,75.0,93
164,1,0.0,0.0,0.0,0
165,0,48.0,1.0,25.0,74
166,0,169.0,18.0,266.0,453
167,0,45.0,21.0,4.0,70
168,0,91.0,0.0,559.0,650
169,1,0.0,0.0,0.0,0
170,0,676.0,181.0,178.0,1035
171,0,95.0,34.0,13.0,142
172,1,0.0,0.0,0.0,0
173,0,0.0,13.0,396.0,409
174,0,7300.0,778.0,8468.0,16546
175,0,237.0,5.0,407.0,649
176,0,1800.0,11000.0,115.0,12915
177,0,1800.0,727.0,467.0,2994
178,0,298.0,6.0,4470.0,4774
