,topic,all_reactions,comments,shares,interaction_sum
0,0,63.0,0.0,48.0,111
1,0,0.0,31.0,64.0,95
2,1,7.0,0.0,0.0,7
3,1,33.0,5.0,99.0,137
4,0,245.0,226.0,400.0,871
5,0,319.0,83.0,296.0,698
6,3,40.0,7.0,71.0,118
7,0,36.0,5.0,23.0,64
8,0,10.0,4.0,7.0,21
9,0,93.0,10.0,77.0,180
10,0,24.0,0.0,6.0,30
11,0,22.0,0.0,9.0,31
12,0,129.0,41.0,120.0,290
13,0,0.0,55.0,98.0,153
14,0,45.0,0.0,21.0,66
15,0,12.0,0.0,6.0,18
16,0,66.0,7.0,38.0,111
17,0,36.0,3.0,57.0,96
18,0,90.0,20.0,36.0,146
19,0,82.0,42.0,70.0,194
20,0,82.0,6.0,32.0,120
21,0,575.0,147.0,328.0,1050
22,0,58.0,8.0,52.0,118
23,0,15.0,0.0,6.0,21
24,0,144.0,62.0,59.0,265
25,0,35.0,4.0,9.0,48
26,0,24.0,0.0,10.0,34
27,0,4.0,2.0,10.0,16
28,0,6400.0,37000.0,913.0,44313
29,0,274.0,16.0,550.0,840
30,0,18.0,0.0,27.0,45
31,0,0.0,0.0,0.0,0
32,1,1.0,0.0,0.0,1
33,0,9900.0,14000.0,17308.0,41208
34,0,81.0,25.0,267.0,373
35,0,33000.0,0.0,68984.0,101984
36,0,80.0,0.0,349.0,429
37,0,280.0,0.0,1739.0,2019
38,0,183.0,136.0,157.0,476
39,0,131.0,95.0,121.0,347
40,0,246.0,51.0,401.0,698
41,4,586.0,85.0,340.0,1011
42,0,279.0,177.0,301.0,757
43,0,279.0,177.0,301.0,757
44,0,344.0,0.0,1173.0,1517
45,0,5.0,0.0,4.0,9
46,0,281.0,98.0,844.0,1223
47,0,279.0,177.0,301.0,757
48,0,6.0,7.0,5.0,18
49,0,0.0,7.0,5.0,12
50,0,45.0,2.0,19.0,66
51,0,9800.0,3000.0,912.0,13712
52,0,63000.0,44000.0,624.0,107624
53,0,28.0,0.0,34.0,62
54,0,783.0,39.0,1203.0,2025
55,0,35.0,0.0,64.0,99
56,0,464.0,179.0,856.0,1499
57,0,91.0,22.0,37.0,150
58,0,244.0,41.0,1323.0,1608
59,0,203.0,0.0,385.0,588
60,3,1.0,0.0,5.0,6
61,0,491.0,61.0,962.0,1514
62,0,23.0,0.0,31.0,54
63,0,779.0,238.0,1447.0,2464
64,0,408.0,22.0,46.0,476
65,0,568.0,515.0,1642.0,2725
66,0,779.0,238.0,1447.0,2464
67,0,419.0,0.0,103.0,522
68,0,4.0,0.0,2.0,6
69,0,0.0,16.0,56.0,72
70,0,44.0,34.0,85.0,163
71,0,41.0,0.0,78.0,119
72,0,779.0,238.0,1447.0,2464
73,0,39.0,47.0,394.0,480
74,0,779.0,238.0,1447.0,2464
75,0,1300.0,69.0,39.0,1408
76,0,1400.0,138.0,24.0,1562
77,0,2300.0,641.0,1132.0,4073
78,0,8.0,0.0,10.0,18
79,0,779.0,238.0,1447.0,2464
80,0,282.0,474.0,515.0,1271
81,0,12.0,2.0,6.0,20
82,0,65.0,40.0,54.0,159
83,0,200.0,46.0,208.0,454
84,0,5700.0,17000.0,6417.0,29117
85,0,7.0,1.0,3.0,11
86,0,299.0,0.0,290.0,589
87,0,61.0,12.0,34.0,107
88,0,676.0,181.0,178.0,1035
89,0,95.0,34.0,13.0,142
90,0,75.0,0.0,113.0,188
91,0,75.0,18.0,231.0,324
92,0,38.0,16.0,342.0,396
93,0,1100.0,0.0,8793.0,9893
94,0,19.0,0.0,79.0,98
95,0,0.0,22.0,6.0,28
96,0,115.0,0.0,52.0,167
97,1,881.0,0.0,1269.0,2150
98,1,14.0,5.0,4.0,23
99,1,47.0,8.0,58.0,113
100,0,67.0,25.0,68.0,160
101,0,84.0,26.0,80.0,190
102,0,745.0,262.0,2514.0,3521
103,0,106.0,56.0,258.0,420
104,4,52.0,3.0,107.0,162
105,0,48.0,1.0,25.0,74
106,0,169.0,18.0,266.0,453
107,0,676.0,181.0,178.0,1035
108,0,95.0,34.0,13.0,142
109,0,0.0,13.0,396.0,409
110,1,1800.0,727.0,467.0,2994
111,1,1800.0,727.0,467.0,2994
112,1,3500.0,110.0,210.0,3820
113,0,1500.0,0.0,765.0,2265
114,0,94.0,31.0,23.0,148
115,3,2.0,0.0,3.0,5
116,0,2.0,0.0,2.0,4
117,0,103.0,46.0,78.0,227
118,1,1900.0,0.0,322.0,2222
119,0,103.0,46.0,78.0,227
120,0,1300.0,189.0,23.0,1512
121,0,105.0,9.0,27.0,141
122,0,80.0,44.0,245.0,369
123,0,169.0,0.0,88.0,257
124,0,166.0,2.0,295.0,463
125,0,5600.0,22000.0,12541.0,40141
126,0,1200.0,265.0,453.0,1918
127,0,157.0,0.0,942.0,1099
128,0,76.0,0.0,44.0,120
129,0,429.0,252.0,429.0,1110
130,0,1000.0,0.0,2172.0,3172
131,0,4400.0,3000.0,877.0,8277
132,0,8.0,0.0,5.0,13
133,0,227.0,26.0,341.0,594
134,0,3.0,0.0,1.0,4
135,0,65.0,40.0,54.0,159
136,0,34.0,0.0,21.0,55
137,4,207.0,0.0,141.0,348
138,0,65.0,40.0,54.0,159
139,0,34.0,0.0,21.0,55
140,0,0.0,0.0,0.0,0
141,0,108.0,54.0,23.0,185
142,0,41.0,3.0,19.0,63
143,0,4.0,0.0,3.0,7
144,0,9.0,12.0,3.0,24
145,0,6800.0,0.0,9617.0,16417
146,0,58.0,9.0,24.0,91
147,0,94.0,28.0,53.0,175
148,0,411.0,0.0,1746.0,2157
149,0,1300.0,0.0,13907.0,15207
150,0,0.0,143.0,283.0,426
151,0,104.0,17.0,80.0,201
152,0,186.0,14.0,147.0,347
153,0,169000.0,19000.0,39997.0,227997
154,0,0.0,57000.0,46559.0,103559
155,0,177.0,30.0,221.0,428
156,0,171.0,22.0,193.0,386
157,0,284.0,66.0,136.0,486
158,0,131.0,45.0,28.0,204
159,0,2100.0,19.0,4106.0,6225
160,0,1600.0,448.0,3095.0,5143
161,0,0.0,2.0,238.0,240
162,0,289.0,147.0,181.0,617
163,0,99.0,19.0,47.0,165
164,0,65.0,1.0,26.0,92
165,0,2000.0,0.0,5433.0,7433
166,1,2700.0,1000.0,323.0,4023
167,0,0.0,3.0,8734.0,8737
168,0,986.0,187.0,8184.0,9357
169,0,158.0,16.0,174.0,348
170,0,1300.0,69.0,39.0,1408
171,0,1400.0,138.0,24.0,1562
172,0,44000.0,12000.0,2270.0,58270
173,0,10000.0,0.0,430.0,10430
174,3,58000.0,75000.0,1479.0,134479
175,3,158.0,5.0,88.0,251
176,0,56.0,10.0,200.0,266
