,topic,all_reactions,comments,shares,interaction_sum,polarity,subjectivity
0,0,63.0,0.0,48.0,111,0.0,0.0
1,0,0.0,31.0,64.0,95,-0.2,0.8
2,1,7.0,0.0,0.0,7,-0.16666666666666666,0.16666666666666666
3,1,33.0,5.0,99.0,137,-0.05,0.4
4,0,245.0,226.0,400.0,871,0.07487179487179486,0.5420940170940169
5,0,319.0,83.0,296.0,698,0.5,0.5
6,3,40.0,7.0,71.0,118,-0.09523809523809523,0.43971306471306476
7,0,36.0,5.0,23.0,64,0.009090909090909066,0.4151515151515151
8,0,10.0,4.0,7.0,21,0.009090909090909066,0.4151515151515151
9,0,93.0,10.0,77.0,180,-0.37333333333333335,0.7333333333333333
10,0,24.0,0.0,6.0,30,-0.45000000000000007,0.8
11,0,22.0,0.0,9.0,31,-0.21666666666666667,0.85
12,0,129.0,41.0,120.0,290,-0.17772727272727276,0.48590909090909096
13,0,0.0,55.0,98.0,153,-0.06666666666666668,0.4666666666666666
14,0,45.0,0.0,21.0,66,0.17777777777777773,0.3555555555555556
15,0,12.0,0.0,6.0,18,-0.24166666666666667,0.5479166666666667
16,0,66.0,7.0,38.0,111,-0.10757575757575757,0.48030303030303034
17,0,36.0,3.0,57.0,96,-0.3291666666666668,0.5666666666666668
18,0,90.0,20.0,36.0,146,-0.2888888888888889,0.5555555555555555
19,0,82.0,42.0,70.0,194,0.041003787878787876,0.4214015151515152
20,0,82.0,6.0,32.0,120,-0.5,1.0
21,0,575.0,147.0,328.0,1050,-0.09333333333333334,0.25333333333333335
22,0,58.0,8.0,52.0,118,-0.02462121212121214,0.35994318181818186
23,0,15.0,0.0,6.0,21,-0.22777777777777777,0.5444444444444445
24,0,144.0,62.0,59.0,265,0.0,0.75
25,0,35.0,4.0,9.0,48,0.01574074074074074,0.41203703703703703
26,0,24.0,0.0,10.0,34,-0.2555555555555556,0.4222222222222222
27,0,4.0,2.0,10.0,16,-0.11666666666666667,0.6166666666666666
28,0,6400.0,37000.0,913.0,44313,-0.0625,0.875
29,0,274.0,16.0,550.0,840,0.029082054309327046,0.34241637150728066
30,0,18.0,0.0,27.0,45,0.1,0.4833333333333333
31,0,0.0,0.0,0.0,0,0.4166666666666667,0.5499999999999999
32,1,1.0,0.0,0.0,1,-0.12,0.5250000000000001
33,0,9900.0,14000.0,17308.0,41208,0.37,0.44333333333333336
34,0,81.0,25.0,267.0,373,-0.4,0.55
35,0,33000.0,0.0,68984.0,101984,0.3213768115942029,0.5025362318840579
36,0,80.0,0.0,349.0,429,0.0,0.1
37,0,280.0,0.0,1739.0,2019,0.0,0.375
38,0,183.0,136.0,157.0,476,0.13165374677002584,0.4361757105943152
39,0,131.0,95.0,121.0,347,0.08333333333333333,0.3884259259259259
40,0,246.0,51.0,401.0,698,0.03333333333333333,0.45606060606060606
41,4,586.0,85.0,340.0,1011,0.0,0.0
42,0,279.0,177.0,301.0,757,-0.03939393939393941,0.5068181818181817
43,0,279.0,177.0,301.0,757,-0.03939393939393941,0.5068181818181817
44,0,344.0,0.0,1173.0,1517,-0.12032967032967035,0.5315750915750915
45,0,5.0,0.0,4.0,9,0.04157512626262625,0.47903724747474746
46,0,281.0,98.0,844.0,1223,0.057902815214136,0.49492737346510934
47,2,404.0,200.0,21.0,625,0.0,0.0
48,0,279.0,177.0,301.0,757,-0.03939393939393941,0.5068181818181817
49,0,6.0,7.0,5.0,18,-0.024999999999999967,0.630952380952381
50,0,0.0,7.0,5.0,12,0.04062500000000003,0.6145833333333334
51,0,45.0,2.0,19.0,66,-0.056666666666666664,0.5599999999999999
52,0,9800.0,3000.0,912.0,13712,0.25,0.7749999999999999
53,0,63000.0,44000.0,624.0,107624,0.175,0.325
54,0,28.0,0.0,34.0,62,0.24444444444444446,0.7666666666666666
55,0,783.0,39.0,1203.0,2025,0.35,0.6000000000000001
56,0,35.0,0.0,64.0,99,0.11818181818181818,0.42727272727272725
57,0,464.0,179.0,856.0,1499,0.019729838063171395,0.3759942680776014
58,0,91.0,22.0,37.0,150,0.06666666666666667,0.25000000000000006
59,0,244.0,41.0,1323.0,1608,-0.09999999999999992,0.5833333333333333
60,0,203.0,0.0,385.0,588,0.25,0.25
61,3,1.0,0.0,5.0,6,0.0,0.75
62,0,491.0,61.0,962.0,1514,0.15064935064935067,0.49062049062049057
63,0,23.0,0.0,31.0,54,-0.1,0.3
64,0,779.0,238.0,1447.0,2464,-0.10803030303030305,0.36883838383838385
65,0,408.0,22.0,46.0,476,0.4142857142857143,0.7214285714285714
66,0,568.0,515.0,1642.0,2725,0.5249999999999999,0.5750000000000001
67,0,779.0,238.0,1447.0,2464,-0.10803030303030305,0.36883838383838385
68,0,419.0,0.0,103.0,522,0.18831168831168826,0.461038961038961
69,0,4.0,0.0,2.0,6,-0.45,0.8
70,0,0.0,16.0,56.0,72,0.0,0.0
71,0,44.0,34.0,85.0,163,0.1708333333333333,0.3999999999999999
72,0,41.0,0.0,78.0,119,0.08783333333333336,0.3964206349206349
73,0,779.0,238.0,1447.0,2464,-0.10803030303030305,0.36883838383838385
74,0,39.0,47.0,394.0,480,-0.13032106782106784,0.3426857864357864
75,0,779.0,238.0,1447.0,2464,-0.10803030303030305,0.36883838383838385
76,0,1300.0,69.0,39.0,1408,0.08166666666666667,0.3401190476190476
77,0,1400.0,138.0,24.0,1562,0.19166666666666668,0.5694444444444444
78,0,2300.0,641.0,1132.0,4073,0.0,0.0
79,0,8.0,0.0,10.0,18,0.03333333333333333,0.5375
80,0,779.0,238.0,1447.0,2464,-0.10803030303030305,0.36883838383838385
81,0,282.0,474.0,515.0,1271,0.15952380952380954,0.35773809523809524
82,0,12.0,2.0,6.0,20,0.1410493827160494,0.4441358024691358
83,0,65.0,40.0,54.0,159,0.055773809523809524,0.3360714285714286
84,0,200.0,46.0,208.0,454,0.06595731474407944,0.4451903488668194
85,0,5700.0,17000.0,6417.0,29117,0.16,0.24000000000000005
86,0,7.0,1.0,3.0,11,-0.5,0.9
87,0,299.0,0.0,290.0,589,0.13958333333333334,0.25625000000000003
88,0,61.0,12.0,34.0,107,-0.3,0.6
89,0,676.0,181.0,178.0,1035,0.06694214876033058,0.37575757575757573
90,0,95.0,34.0,13.0,142,0.09999999999999999,0.42361111111111116
91,0,75.0,0.0,113.0,188,0.13333333333333333,0.48611111111111116
92,0,75.0,18.0,231.0,324,-0.01875,0.3195075757575758
93,0,38.0,16.0,342.0,396,-0.02462121212121212,0.19242424242424241
94,0,1100.0,0.0,8793.0,9893,-0.5,0.9
95,0,19.0,0.0,79.0,98,0.2,0.9444444444444444
96,0,0.0,22.0,6.0,28,0.17142857142857143,0.3380952380952381
97,0,115.0,0.0,52.0,167,0.12222222222222223,0.2111111111111111
98,1,881.0,0.0,1269.0,2150,-0.019565217391304346,0.5701690821256039
99,1,14.0,5.0,4.0,23,0.0,0.25
100,1,47.0,8.0,58.0,113,-0.04895833333333333,0.5453703703703704
101,0,67.0,25.0,68.0,160,0.07589697615817018,0.438402145118563
102,0,84.0,26.0,80.0,190,0.0,0.0
103,3,6100.0,313.0,987.0,7400,0.147985347985348,0.38974358974358975
104,0,745.0,262.0,2514.0,3521,-0.026047619047619052,0.5525238095238094
105,0,106.0,56.0,258.0,420,-0.04379960317460318,0.6213789682539682
106,4,52.0,3.0,107.0,162,-0.0343576521517698,0.4768557422969187
107,0,48.0,1.0,25.0,74,0.09204004329004328,0.4872619047619048
108,0,169.0,18.0,266.0,453,-0.050051759834368534,0.5788302277432712
109,2,45.0,21.0,4.0,70,-0.0625,0.1875
110,0,676.0,181.0,178.0,1035,0.06694214876033058,0.37575757575757573
111,0,95.0,34.0,13.0,142,0.09999999999999999,0.42361111111111116
112,0,0.0,13.0,396.0,409,-0.12499999999999999,0.6375
113,2,7300.0,778.0,8468.0,16546,0.18181818181818182,0.4165584415584416
114,1,1800.0,727.0,467.0,2994,-0.3292929292929293,0.6838383838383838
115,1,1800.0,727.0,467.0,2994,-0.3292929292929293,0.6838383838383838
116,1,3500.0,110.0,210.0,3820,0.106758658008658,0.42823322510822515
117,0,1500.0,0.0,765.0,2265,0.32949810606060603,0.47642045454545456
118,0,94.0,31.0,23.0,148,0.075,0.32222222222222224
119,3,2.0,0.0,3.0,5,-0.344047619047619,0.5595238095238095
120,0,2.0,0.0,2.0,4,0.0,0.125
121,0,103.0,46.0,78.0,227,0.03212353123067409,0.3941210575139147
122,1,1900.0,0.0,322.0,2222,0.09818001443001442,0.557041847041847
123,0,103.0,46.0,78.0,227,0.03212353123067409,0.3941210575139147
124,0,1300.0,189.0,23.0,1512,0.14867424242424243,0.46041666666666664
125,0,105.0,9.0,27.0,141,0.025422077922077922,0.40565295815295827
126,0,80.0,44.0,245.0,369,0.22807017543859653,0.41140350877192977
127,0,169.0,0.0,88.0,257,-0.1892857142857143,0.6107142857142858
128,0,166.0,2.0,295.0,463,0.10598285486443386,0.4809150717703348
129,0,5600.0,22000.0,12541.0,40141,-0.04479166666666666,0.559375
130,0,1200.0,265.0,453.0,1918,0.22638888888888886,0.36031746031746037
131,0,157.0,0.0,942.0,1099,-0.30000000000000004,0.2
132,0,76.0,0.0,44.0,120,-0.30000000000000004,0.2
133,0,429.0,252.0,429.0,1110,-0.031210021321961604,0.596730632551528
134,0,1000.0,0.0,2172.0,3172,0.07333221551531412,0.49308629555108413
135,2,6.0,0.0,5.0,11,0.0,0.0
136,0,4400.0,3000.0,877.0,8277,0.11875,0.56875
137,0,8.0,0.0,5.0,13,0.1875,0.38125
138,0,227.0,26.0,341.0,594,0.03718671679197995,0.3964285714285714
139,0,3.0,0.0,1.0,4,-0.05151515151515152,0.3856060606060607
140,0,65.0,40.0,54.0,159,0.055773809523809524,0.3360714285714286
141,0,34.0,0.0,21.0,55,0.16193893825472772,0.31472431077694235
142,2,207.0,0.0,141.0,348,0.06345057720057719,0.4066901154401154
143,0,65.0,40.0,54.0,159,0.055773809523809524,0.3360714285714286
144,0,34.0,0.0,21.0,55,0.16193893825472772,0.31472431077694235
145,0,0.0,0.0,0.0,0,-0.16666666666666666,0.4222222222222222
146,2,9700.0,0.0,1158.0,10858,0.1712121212121212,0.4919191919191919
147,0,108.0,54.0,23.0,185,0.16111111111111112,0.4222222222222222
148,0,41.0,3.0,19.0,63,0.06710365206688738,0.392688067651303
149,2,40000.0,21000.0,14000.0,75000,0.28625,0.5974999999999999
150,0,4.0,0.0,3.0,7,0.0,0.0
151,0,9.0,12.0,3.0,24,0.04035087719298247,0.46403508771929824
152,0,6800.0,0.0,9617.0,16417,-0.00019384623815003904,0.43599512302043936
153,0,58.0,9.0,24.0,91,-0.01077248223474639,0.4364110103732747
