counter;topic
5;1
1;1
2;5
3;3
4;1
5;1
6;1
7;5
8;5
9;1
15;1
11;3
12;3
13;1
14;5
15;1
16;1
17;1
18;1
19;5
25;1
21;1
22;1
23;1
24;5
25;1
26;1
27;1
28;1
29;5
35;1
31;2
32;2
33;2
34;1
35;5
36;1
37;1
38;5
39;3
45;3
41;1
42;3
43;5
44;1
45;2
46;2
47;1
48;1
49;5
55;1
51;5
52;5
53;3
54;1
55;3
56;1
57;5
58;1
59;1
65;3
61;1
62;5
63;1
64;1
65;5
66;5
67;1
68;5
69;2
75;1
71;3
72;5
73;1
74;3
75;1
76;1
77;3
78;5
79;5
85;3
81;1
82;3
83;3
84;5
85;1
86;1
87;2
88;1
89;5
95;1
91;5
92;1
93;1
94;5
95;1
96;3
97;2
98;1
99;3
155;1
151;1
152;1
153;3
154;1
155;3
156;1
157;3
158;1
159;2
115;2
111;5
112;3
113;1
114;1
115;3
116;5
117;1
118;3
119;3
125;3
121;1
122;1
123;5
124;1
125;1
126;3
127;1
128;3
129;1
135;1
131;3
132;1
133;2
134;2
135;5
136;5
137;1
138;3
139;3
145;1
141;1
142;1
143;1
144;1
145;1
146;5
147;1
148;1
149;1
155;3
151;5
152;5
153;5
154;1
155;5
156;5
157;1
158;3
159;1
165;5
161;5
162;1
163;4
164;3
165;5
166;1
167;1
168;1
169;1
175;1
171;5
172;1
173;1
174;3
175;1
176;1
177;3
178;1
179;3
185;1
181;3
182;1
183;5
184;1
185;1
186;5
187;5
188;1
189;1
195;3
191;3
192;1
193;5
194;1
195;3
196;1
197;1
198;2
199;1
255;1
251;1
252;3
253;1
254;5
255;1
256;3
257;1
258;5
259;5
215;1
211;3
212;5
213;1
214;5
215;1
216;1
217;1
218;3
219;1
225;5
221;5
222;5
223;1
224;5
225;1
226;1
227;1
228;5
229;5
235;5
231;1
232;1
233;1
234;1
235;5
236;1
237;5
238;1
239;1
245;5
241;1
242;1
243;5
244;3
245;3
246;3
247;5
248;5
249;1
255;1
251;5
252;3
253;3
254;5
255;1
256;3
257;1
258;1
259;3
265;1
261;1
262;5
263;5
264;5
265;4
266;1
267;3
268;1
269;5
275;1
271;5
272;1
273;1
274;1
275;1
276;5
277;1
278;1
279;1
285;1
281;1
282;1
283;5
284;5
285;1
286;2
287;2
288;1
289;1
295;3
291;3
292;1
293;1
294;3
295;1
296;5
297;1
298;5
299;1
355;1
351;5
352;1
353;1
354;1
355;5
356;5
357;5
358;1
359;3
315;5
311;5
312;2
313;5
314;5
315;2
316;1
317;1
318;1
319;5
325;1
321;1
322;1
323;1
324;1
325;1
326;1
327;3
328;5
329;1
335;1
331;1
332;1
333;3
334;1
335;1
336;3
337;1
338;5
339;1
345;3
341;1
342;1
343;1
344;3
345;1
346;5
347;1
348;1
349;1
355;1
351;1
352;1
353;5
354;1
355;3
356;1
357;1
358;1
359;1
365;5
361;5
362;1
363;1
364;1
365;1
366;3
367;1
368;5
369;5
375;1
371;1
372;3
373;1
374;1
375;3
376;1
377;1
378;1
379;1
385;4
381;5
382;5
383;1
384;1
385;1
386;2
387;2
388;5
389;5
395;1
391;5
392;1
393;5
394;1
395;3
396;1
397;5
398;3
399;5
455;5
451;5
452;5
453;1
454;3
455;1
456;3
457;1
458;1
459;5
415;5
411;1
412;5
413;1
414;1
415;5
416;1
417;3
418;1
419;1
425;5
421;1
422;1
423;3
424;3
425;5
426;1
427;1
428;5
429;1
435;1
431;1
432;3
433;1
434;1
435;3
436;1
437;1
438;1
439;1
445;1
441;3
442;1
443;3
444;1
445;1
446;1
447;3
448;5
449;1
455;5
451;1
452;3
453;1
454;5
455;3
456;1
457;3
458;1
459;1
465;3
461;1
462;1
463;3
464;1
465;1
466;5
467;1
468;3
469;1
475;5
471;1
472;1
473;1
474;5
475;3
476;3
477;5
478;1
479;1
485;1
481;2
482;1
483;1
484;1
485;3
486;2
487;2
488;4
489;1
495;1
491;1
492;1
493;1
494;1
495;1
496;5
497;1
498;1
499;3
555;1
551;5
552;1
553;1
554;1
555;1
556;1
557;1
558;5
559;1
515;3
511;1
512;1
513;3
514;3
515;5
516;5
517;1
518;5
519;1
525;1
521;1
522;1
523;1
524;3
525;1
526;1
527;1
528;3
529;1
535;1
531;1
532;1
533;5
534;3
535;1
536;3
537;5
538;1
539;1
545;5
541;3
542;1
543;5
544;2
545;2
546;5
547;1
548;1
549;3
555;1
551;3
552;1
553;1
554;1
555;3
556;1
557;4
558;1
559;5
565;5
561;1
562;5
563;1
564;5
565;3
566;3
567;5
568;1
569;5
575;1
571;3
572;3
573;1
574;5
575;1
576;3
577;5
578;1
579;1
585;4
581;1
582;3
583;1
584;3
585;1
586;2
587;2
588;3
589;5
595;1
591;5
592;5
593;5
594;1
595;5
596;3
597;1
598;1
599;1
655;1
651;1
652;1
653;1
654;3
655;1
656;1
657;1
658;1
659;3
615;1
611;3
612;1
613;1
614;3
615;5
616;5
617;3
618;1
619;3
625;1
621;3
622;1
623;1
624;1
625;1
626;1
627;3
628;1
629;3
635;1
631;1
632;3
633;3
634;1
635;1
636;1
637;1
638;5
639;1
645;2
641;2
642;3
643;1
