,countries
0,USA
1,Brazil
2,Spain
3,SouthKorea
4,Australia
5,Italy
6,NorthMacedonia
7,SriLanka
8,Argentina
9,Colombia
10,Taiwan
11,Philippines
12,Mexico
13,Georgia
14,France
15,NewZealand
16,Poland
17,Canada
18,SouthAfrica
19,Nigeria
20,Turkey
21,Malaysia
22,Latvia
23,India
24,Indonesia
25,MiddleEast
26,Japan
27,Lativa
28,China
29,Ethiopia
30,Kenya
31,Germany
32,Venezuela
33,Belgium
34,Pakistan
35,Thailand
36,Ukraine
37,Senegal
38,Finland
39,Switzerland
40,Chile
41,Myanmar
42,DRCongo
43,Ireland
44,Bolivia
45,Singapore
46,Serbia
47,IvoryCoast
48,Guatemala
49,Tunisia
50,Egypt
51,Zimbabwe
52,Jordan
53,Russia
54,Greece
55,Morocco
56,CostaRica
57,Syria
58,UK
59,United
60,Libya
61,Portugal
62,Israel
63,Ecuador
64,Bulgaria
65,Iraq
66,Paraguay
67,UnitedKingdom
68,Lebanon
69,Africa
70,Tuvalu
71,SaudiArabia
72,Tanzania
73,Uganda
74,Burundi
75,Mali
76,BosniaandHerzegovina
77,Peru
78,Ghana
79,Lithuania
80,UnitedArabEmirates
81,SouthSudan
82,Sweden
83,Kazakhstan
84,Netherlands
85,WestAfrica
86,Denmark
87,Yemen
88,Madagascar
89,Algeria
90,Congo
91,Europe
92,Cameroon
93,Croatia
94,Kuwait
95,NorthAfrica
96,Sudan
97,Asia
98,BurkinaFaso
99,Rwanda
100,Guinea
101,Iran
102,Cuba
103,EastAfrica
104,Slovakia
105,Uruguay
106,Qatar
107,Oman
108,Iceland
109,SouthAmerica
110,Azerbaijan
111,Bahrain
112,CzechRepublic
113,Gabon
114,Ukraine.Poland
115,SirLanka
116,Nepal
117,Romania
118,Norway
119,Romaina
120,Austria
121,Vanuatu
122,Tajikistan
123,Phillipines
124,Belarus
125,Papua
126,ElSalvador
127,NewZeland
128,Honduras
129,USA
130,Kyrgyzstan
131,NorthAmerica
132,NorthernIreland
133,SouthernAfrica
134,Vietnam
135,Moldova
136,Fiji
137,Afghanistan
138,Gambia
139,Timor
140,DominicanRepublic
141,Kosovo
142,Albania
143,Jorday
144,NorthKorea
145,New
146,Montenegro
147,Malawi
148,CentralAmerica
149,Uzbekistan
