,countries,polarity,subjectivity
59,United,0.0,0.0
59,United,-0.2,0.8
6,NorthMacedonia,-0.16666666666666666,0.16666666666666666
6,NorthMacedonia,0.0,0.0
9,Colombia,-0.05,0.4
6,NorthMacedonia,0.0,0.0
6,NorthMacedonia,0.0,0.0
6,NorthMacedonia,0.05,0.1
13,Georgia,0.07487179487179486,0.5420940170940169
6,NorthMacedonia,0.26666666666666666,0.2833333333333333
13,Georgia,0.05,0.1
13,Georgia,0.05,0.1
9,Colombia,0.5,0.5
13,Georgia,0.05,0.1
6,NorthMacedonia,0.0,0.0
16,Poland,0.05,0.1
6,NorthMacedonia,0.5,0.5
9,Colombia,-0.09523809523809523,0.43971306471306476
16,Poland,0.009090909090909066,0.4151515151515151
59,United,0.009090909090909066,0.4151515151515151
16,Poland,0.009090909090909066,0.4151515151515151
59,United,0.009090909090909066,0.4151515151515151
1,Brazil,-0.37333333333333335,0.7333333333333333
1,Brazil,-0.45000000000000007,0.8
1,Brazil,-0.21666666666666667,0.85
1,Brazil,-0.17772727272727276,0.48590909090909096
1,Brazil,-0.06666666666666668,0.4666666666666666
1,Brazil,0.17777777777777773,0.3555555555555556
1,Brazil,-0.24166666666666667,0.5479166666666667
1,Brazil,0.09999999999999998,0.8
1,Brazil,-0.10757575757575757,0.48030303030303034
1,Brazil,-0.3291666666666668,0.5666666666666668
1,Brazil,-0.2888888888888889,0.5555555555555555
1,Brazil,0.041003787878787876,0.4214015151515152
1,Brazil,-0.5,1.0
1,Brazil,-0.09333333333333334,0.25333333333333335
1,Brazil,-0.02462121212121214,0.35994318181818186
1,Brazil,-0.22777777777777777,0.5444444444444445
1,Brazil,0.0,0.75
1,Brazil,0.01574074074074074,0.41203703703703703
1,Brazil,-0.2555555555555556,0.4222222222222222
1,Brazil,0.018888888888888893,0.8185185185185185
1,Brazil,-0.11666666666666667,0.6166666666666666
1,Brazil,-0.0625,0.875
6,NorthMacedonia,0.0,0.0
13,Georgia,0.029082054309327046,0.34241637150728066
6,NorthMacedonia,-0.2,0.8
46,Serbia,-0.2,0.8
16,Poland,0.1,0.4833333333333333
59,United,0.1,0.4833333333333333
13,Georgia,0.0,0.0
6,NorthMacedonia,0.05,0.1
5,Italy,0.4166666666666667,0.5499999999999999
117,Romania,0.4166666666666667,0.5499999999999999
6,NorthMacedonia,0.05,0.1
13,Georgia,0.0,0.0
5,Italy,-0.12,0.5250000000000001
9,Colombia,0.0707070707070707,0.4755050505050505
9,Colombia,0.0,0.3
6,NorthMacedonia,0.3333333333333333,0.4666666666666666
16,Poland,0.37,0.44333333333333336
13,Georgia,0.05,0.1
13,Georgia,-0.4,0.55
26,Japan,0.3213768115942029,0.5025362318840579
13,Georgia,0.0,0.1
53,Russia,0.0,0.1
84,Netherlands,0.0,0.1
59,United,-0.2,0.0
13,Georgia,0.25,0.3333333333333333
118,Norway,0.25,0.3333333333333333
13,Georgia,0.05,0.1
118,Norway,0.05,0.1
23,India,0.0,0.0
6,NorthMacedonia,0.0,0.0
13,Georgia,0.0,0.0
59,United,0.0,0.375
13,Georgia,0.13165374677002584,0.4361757105943152
13,Georgia,0.08333333333333333,0.3884259259259259
23,India,0.0,0.0
6,NorthMacedonia,0.0,0.0
59,United,0.03333333333333333,0.45606060606060606
59,United,0.0,0.0
1,Brazil,-0.03939393939393941,0.5068181818181817
2,Spain,0.13444741532976828,0.504144385026738
2,Spain,-0.00833333333333334,0.3777777777777778
1,Brazil,-0.03939393939393941,0.5068181818181817
13,Georgia,-0.12032967032967035,0.5315750915750915
9,Colombia,0.04157512626262625,0.47903724747474746
16,Poland,0.057902815214136,0.49492737346510934
59,United,0.057902815214136,0.49492737346510934
23,India,0.5,0.5
33,Belgium,0.0984126984126984,0.2845238095238095
11,Philippines,0.0,0.0
9,Colombia,0.0,0.0
6,NorthMacedonia,0.0,0.0
13,Georgia,0.0,0.0
1,Brazil,-0.03939393939393941,0.5068181818181817
13,Georgia,-0.024999999999999967,0.630952380952381
13,Georgia,0.04062500000000003,0.6145833333333334
1,Brazil,0.5499999999999999,0.7333333333333334
13,Georgia,0.0,0.0
23,India,0.5,0.5
13,Georgia,0.05,0.1
14,France,0.10772727272727274,0.30742424242424243
16,Poland,0.10772727272727274,0.30742424242424243
13,Georgia,0.05,0.1
1,Brazil,0.2760416666666667,0.8854166666666667
21,Malaysia,0.0,0.0
16,Poland,-0.056666666666666664,0.5599999999999999
11,Philippines,0.25,0.7749999999999999
13,Georgia,0.0,0.0
59,United,0.0,0.0
62,Israel,0.0,0.0
67,UnitedKingdom,0.0,0.0
13,Georgia,0.05,0.1
59,United,0.05,0.1
62,Israel,0.05,0.1
67,UnitedKingdom,0.05,0.1
1,Brazil,0.175,0.325
24,Indonesia,0.125,0.3319444444444445
6,NorthMacedonia,0.0,0.0
13,Georgia,0.24444444444444446,0.7666666666666666
120,Austria,0.24444444444444446,0.7666666666666666
13,Georgia,0.05,0.1
31,Germany,0.05,0.1
13,Georgia,0.05,0.1
31,Germany,0.05,0.1
13,Georgia,0.0,0.0
31,Germany,0.0,0.0
16,Poland,0.35,0.6000000000000001
59,United,0.35,0.6000000000000001
16,Poland,0.0,0.1
59,United,0.0,0.1
16,Poland,0.11818181818181818,0.42727272727272725
59,United,0.11818181818181818,0.42727272727272725
13,Georgia,0.0,0.0
13,Georgia,0.019729838063171395,0.3759942680776014
6,NorthMacedonia,0.05,0.1
13,Georgia,0.0,0.0
13,Georgia,0.06666666666666667,0.25000000000000006
6,NorthMacedonia,0.05,0.1
6,NorthMacedonia,-0.09999999999999992,0.5833333333333333
13,Georgia,0.0,0.0
13,Georgia,0.25,0.25
59,United,0.25,0.25
36,Ukraine,0.0,0.0
36,Ukraine,0.0,0.75
11,Philippines,0.15064935064935067,0.49062049062049057
6,NorthMacedonia,0.0,0.0
6,NorthMacedonia,-0.1,0.3
6,NorthMacedonia,-0.10803030303030305,0.36883838383838385
36,Ukraine,0.05,0.1
23,India,0.4142857142857143,0.7214285714285714
1,Brazil,0.5249999999999999,0.5750000000000001
59,United,-0.10803030303030305,0.36883838383838385
2,Spain,-0.4,0.7749999999999999
59,United,0.2,0.2
36,Ukraine,0.18831168831168826,0.461038961038961
31,Germany,0.0,0.0
13,Georgia,0.05,0.1
59,United,0.05,0.1
13,Georgia,-0.45,0.8
59,United,-0.45,0.8
13,Georgia,0.05,0.1
59,United,0.05,0.1
13,Georgia,0.05,0.1
59,United,0.05,0.1
31,Germany,0.05,0.1
36,Ukraine,0.05,0.1
9,Colombia,0.0,0.0
13,Georgia,0.0,0.0
8,Argentina,0.1708333333333333,0.3999999999999999
13,Georgia,0.05,0.1
13,Georgia,0.08783333333333336,0.3964206349206349
2,Spain,-0.10803030303030305,0.36883838383838385
13,Georgia,0.05,0.1
13,Georgia,0.05,0.1
13,Georgia,0.05,0.1
13,Georgia,0.8,0.75
13,Georgia,0.05,0.1
62,Israel,0.05,0.1
31,Germany,-0.13032106782106784,0.3426857864357864
36,Ukraine,0.05,0.1
2,Spain,-0.10803030303030305,0.36883838383838385
6,NorthMacedonia,0.08166666666666667,0.3401190476190476
6,NorthMacedonia,0.19166666666666668,0.5694444444444444
6,NorthMacedonia,0.05,0.1
59,United,0.0,0.0
36,Ukraine,0.03333333333333333,0.5375
84,Netherlands,0.03333333333333333,0.5375
14,France,-0.10803030303030305,0.36883838383838385
59,United,0.15952380952380954,0.35773809523809524
13,Georgia,0.05,0.1
59,United,0.05,0.1
59,United,0.1410493827160494,0.4441358024691358
59,United,0.0,0.0
13,Georgia,0.055773809523809524,0.3360714285714286
13,Georgia,0.06595731474407944,0.4451903488668194
13,Georgia,0.16,0.24000000000000005
13,Georgia,0.05,0.1
13,Georgia,-0.5,0.9
36,Ukraine,0.0,0.0
36,Ukraine,0.0,0.0
59,United,0.0,0.0
36,Ukraine,0.13958333333333334,0.25625000000000003
59,United,0.13958333333333334,0.25625000000000003
13,Georgia,0.05,0.1
4,Australia,0.0,0.0
4,Australia,-0.3,0.6
4,Australia,0.0,0.0
13,Georgia,0.06694214876033058,0.37575757575757573
13,Georgia,0.0,0.0
13,Georgia,0.09999999999999999,0.42361111111111116
13,Georgia,0.13333333333333333,0.48611111111111116
13,Georgia,0.0,0.0
4,Australia,-0.01875,0.3195075757575758
4,Australia,-0.02462121212121212,0.19242424242424241
13,Georgia,0.0,0.0
13,Georgia,-0.5,0.9
13,Georgia,0.2,0.9444444444444444
36,Ukraine,0.17142857142857143,0.3380952380952381
36,Ukraine,0.35,0.35
13,Georgia,0.0,0.0
59,United,0.0,0.0
13,Georgia,0.0,0.0
59,United,0.0,0.0
13,Georgia,0.0,0.0
59,United,0.0,0.0
67,UnitedKingdom,0.0,0.0
13,Georgia,0.12222222222222223,0.2111111111111111
59,United,0.12222222222222223,0.2111111111111111
67,UnitedKingdom,0.12222222222222223,0.2111111111111111
13,Georgia,0.05,0.1
26,Japan,0.05,0.1
13,Georgia,-0.019565217391304346,0.5701690821256039
26,Japan,-0.019565217391304346,0.5701690821256039
17,Canada,0.0,0.25
36,Ukraine,0.0,0.25
13,Georgia,0.0,0.0
13,Georgia,-0.04895833333333333,0.5453703703703704
13,Georgia,0.05,0.1
13,Georgia,0.0,0.0
13,Georgia,0.0,0.0
6,NorthMacedonia,0.0,0.0
13,Georgia,0.07589697615817018,0.438402145118563
13,Georgia,0.0,0.0
