,countries,polarity,subjectivity
2,Spain,0.34571428571428575,0.4228571428571429
9,Colombia,0.0,0.0
2,Spain,0.0,0.0
23,India,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.2333333333333333,0.27499999999999997
9,Colombia,0.0,0.0
59,United,0.1,0.3
59,United,0.0,0.0
23,India,0.0,0.0
11,Philippines,0.0,0.0
11,Philippines,0.0,0.0
9,Colombia,0.0,0.0
4,Australia,-0.1,0.1
4,Australia,0.0,0.25
2,Spain,0.2,0.2
2,Spain,0.0,0.0
2,Spain,0.0,0.0
2,Spain,0.0,0.0
2,Spain,0.0,0.0
31,Germany,0.5,0.5
31,Germany,0.5,0.5
36,Ukraine,0.5,0.5
1,Brazil,0.04659090909090909,0.6484848484848484
1,Brazil,0.11212121212121211,0.509090909090909
8,Argentina,0.03333333333333333,0.06666666666666667
8,Argentina,0.0,0.4
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.4333333333333333,0.7333333333333333
59,United,0.125,0.5
9,Colombia,0.0,0.0
9,Colombia,-0.18333333333333338,0.3333333333333333
33,Belgium,0.3666666666666667,0.7944444444444444
17,Canada,0.5,0.5
1,Brazil,0.018181818181818174,0.42727272727272725
23,India,0.0,0.0
59,United,0.1,0.5
59,United,0.0,0.0
59,United,0.0,0.0
9,Colombia,1.0,0.75
8,Argentina,0.0,0.0
13,Georgia,0.2681818181818182,0.42727272727272725
59,United,0.2681818181818182,0.42727272727272725
10,Taiwan,0.03333333333333333,0.06666666666666667
58,UK,0.0,0.0
44,Bolivia,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
12,Mexico,0.0625,0.5
128,Honduras,0.0625,0.5
11,Philippines,0.0,0.0
9,Colombia,0.7,0.6000000000000001
9,Colombia,0.0,0.0
23,India,0.35,0.7444444444444445
23,India,-0.78125,1.0
23,India,-0.3,0.4
23,India,0.375,0.4
9,Colombia,-0.5,1.0
9,Colombia,0.0,0.0
9,Colombia,0.05,0.05
9,Colombia,0.0,0.0
9,Colombia,0.1787878787878788,0.7348484848484849
11,Philippines,0.0,0.0
43,Ireland,-0.5,1.0
9,Colombia,0.0,0.0
9,Colombia,-0.6,0.9
9,Colombia,0.1787878787878788,0.7348484848484849
9,Colombia,0.0,0.0
9,Colombia,0.4,1.0
9,Colombia,0.1,1.0
9,Colombia,0.2,0.2
9,Colombia,0.3,0.0
9,Colombia,0.0,0.0
9,Colombia,0.22727272727272727,0.5454545454545454
9,Colombia,1.0,1.0
9,Colombia,0.0,0.125
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.06666666666666667,0.5
9,Colombia,-0.08333333333333333,0.11666666666666665
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
1,Brazil,0.0,0.0
23,India,-0.16666666666666666,0.25
2,Spain,0.0,0.1
14,France,0.0,0.0
33,Belgium,0.0,0.0
1,Brazil,0.2916666666666667,0.6666666666666666
23,India,0.26666666666666666,0.5
23,India,0.0,0.0
23,India,0.0,1.0
18,SouthAfrica,0.0,0.0
69,Africa,0.0,0.0
1,Brazil,0.0,0.0
23,India,0.26666666666666666,0.5
23,India,0.5,0.5
23,India,-0.4000000000000001,0.6
23,India,0.0,0.06666666666666667
0,USA,-0.3,0.5
23,India,-0.3,0.5
129,USA,-0.3,0.5
2,Spain,0.1,0.4
26,Japan,0.13636363636363635,0.5
2,Spain,0.3,0.5
44,Bolivia,0.03125,0.22083333333333333
23,India,-0.5,1.0
23,India,-0.5,0.5333333333333333
23,India,-0.13055555555555556,0.39166666666666666
23,India,0.0,0.0
1,Brazil,0.13636363636363635,0.5
2,Spain,0.3,0.5
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
26,Japan,0.0,0.0
26,Japan,0.13636363636363635,0.5
12,Mexico,0.13636363636363635,0.45454545454545453
23,India,0.0,0.0
23,India,0.0,0.0
1,Brazil,0.0,0.0
2,Spain,0.0,0.0
23,India,0.4,0.4
9,Colombia,0.0,0.0
9,Colombia,0.3,0.0
9,Colombia,-0.0875,0.7
9,Colombia,-0.5,1.0
9,Colombia,1.0,0.75
1,Brazil,0.0,0.75
1,Brazil,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
12,Mexico,0.0,0.0
23,India,0.0,0.0
1,Brazil,-0.5,1.0
1,Brazil,-0.5,1.0
23,India,0.0,0.0
11,Philippines,0.0,0.0
17,Canada,0.125,0.125
53,Russia,0.125,0.125
59,United,0.125,0.125
9,Colombia,0.0,0.1
9,Colombia,0.0,0.0
9,Colombia,0.06666666666666667,0.5
9,Colombia,-0.08333333333333333,0.11666666666666665
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
8,Argentina,0.0,0.5
59,United,0.4,1.0
9,Colombia,0.10666666666666665,0.25333333333333335
23,India,0.0,0.0
23,India,0.0,0.0
31,Germany,0.0,0.0
31,Germany,0.13636363636363635,0.5
9,Colombia,0.0,0.0
2,Spain,0.5,0.5
12,Mexico,-0.175,0.65
2,Spain,0.0,0.75
9,Colombia,0.0,0.0
9,Colombia,0.4,1.0
1,Brazil,0.1,0.4
1,Brazil,0.4,1.0
23,India,0.1,0.3
9,Colombia,0.2,0.2
9,Colombia,0.1,0.4
9,Colombia,0.0,0.0
1,Brazil,0.1,0.4
1,Brazil,0.03333333333333333,0.06666666666666667
23,India,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.08035714285714285,0.45535714285714285
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.4333333333333333,0.7333333333333333
9,Colombia,0.30000000000000004,0.55
5,Italy,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,-0.041666666666666664,0.225
