counter,topic,likes,retweets,followers,interaction_sum
0,0,329.0,76.0,9743.0,10148
1,1,59.0,26.0,31785.0,31870
2,1,,,,31870
3,1,29.0,9.0,1183.0,1221
4,0,2275.0,538.0,4079336.0,4082149
5,0,380.0,260.0,992.0,1632
6,1,,,,1632
7,0,5206.0,2421.0,49625840.0,49633467
8,1,,,,49633467
9,2,4176.0,1462.0,11776.0,17414
10,0,8009.0,2777.0,1559032.0,1569818
11,2,131.0,78.0,758000.0,758209
12,2,9147.0,674.0,126344.0,136165
13,0,2638.0,49.0,126344.0,129031
14,0,37.0,29.0,1409696.0,1409762
15,0,2611.0,1438.0,4583.0,8632
16,0,485.0,187.0,27194.0,27866
17,1,,,,27866
18,0,201.0,277.0,45060.0,45538
19,0,17.0,11.0,4512.0,4540
20,0,4048.0,1007.0,1987684.0,1992739
21,0,44.0,20.0,235395.0,235459
22,1,26.0,14.0,3857.0,3897
23,0,375.0,277.0,120820.0,121472
24,0,7.0,2.0,377.0,386
25,1,50.0,11.0,6339.0,6400
26,2,,,,6400
27,0,790.0,213.0,14867220.0,14868223
28,0,788.0,213.0,14868917.0,14869918
29,1,16.0,6.0,440752.0,440774
30,0,91457.0,7758.0,6685573.0,6784788
31,1,2869.0,183.0,9971756.0,9974808
32,1,52235.0,7299.0,45462809.0,45522343
33,0,58.0,6.0,9971756.0,9971820
34,0,140669.0,5160.0,45462809.0,45608638
35,1,104.0,69.0,5175.0,5348
36,0,54.0,12.0,61386.0,61452
37,1,12.0,8.0,35421.0,35441
38,1,5574.0,2760.0,1014.0,9348
39,0,7097.0,4684.0,1437004.0,1448785
40,0,,,,1448785
41,0,63.0,54.0,12726.0,12843
42,0,81.0,77.0,1437004.0,1437162
43,0,9518.0,6719.0,1437004.0,1453241
44,0,,,,1453241
45,0,8.0,1.0,5820.0,5829
46,1,,,,5829
47,0,,,,5829
48,1,131.0,39.0,57747.0,57917
49,0,,,,57917
50,1,171.0,109.0,257990.0,258270
51,1,41.0,15.0,257990.0,258046
52,0,721.0,61.0,1383056.0,1383838
53,1,90.0,8.0,1875.0,1973
54,2,115.0,73.0,1211.0,1399
55,0,,,,1399
56,2,7.0,3.0,76.0,86
57,0,184.0,76.0,19586.0,19846
58,0,,,,19846
59,0,3.0,1.0,33489.0,33493
60,0,42.0,31.0,1218124.0,1218197
61,2,0.0,0.0,12.0,12
62,1,,,,12
63,1,90.0,8.0,1875.0,1973
64,2,51.0,17.0,83277.0,83345
65,1,,,,83345
66,1,26.0,14.0,3857.0,3897
67,2,2119.0,292.0,244869.0,247280
68,0,5250.0,3907.0,9000.0,18157
69,0,278.0,142.0,24471.0,24891
70,2,1924.0,589.0,15148.0,17661
71,2,1923.0,589.0,15148.0,17660
72,1,109.0,32.0,10704.0,10845
73,1,171.0,109.0,257990.0,258270
74,1,41.0,15.0,257990.0,258046
75,0,0.0,0.0,90.0,90
76,0,,,,90
77,1,,,,90
78,0,249.0,198.0,590630.0,591077
79,0,,,,591077
80,2,238.0,98.0,114318.0,114654
81,0,6003.0,1122.0,5267968.0,5275093
82,0,604.0,35.0,88980.0,89619
83,0,9.0,4.0,7263.0,7276
84,1,103.0,66.0,645880.0,646049
85,0,,,,646049
86,1,,,,646049
87,2,13.0,3.0,1662.0,1678
88,0,37.0,29.0,1409696.0,1409762
89,0,2611.0,1438.0,4583.0,8632
90,0,485.0,187.0,27194.0,27866
91,1,3.0,2.0,1000405.0,1000410
92,2,46.0,24.0,58825.0,58895
93,1,4.0,1.0,98.0,103
94,0,1248.0,382.0,356567.0,358197
95,0,8538.0,1394.0,5267968.0,5277900
96,1,26.0,9.0,17594.0,17629
97,0,23.0,6.0,17594.0,17623
98,0,32.0,9.0,5686.0,5727
99,0,,,,5727
100,2,,,,5727
101,0,7206.0,806.0,97965.0,105977
102,2,46.0,24.0,58825.0,58895
103,2,1897.0,653.0,4987513.0,4990063
104,0,,,,4990063
105,0,54.0,60.0,13265.0,13379
106,1,8.0,1.0,1548.0,1557
107,1,1193.0,451.0,9138312.0,9139956
108,1,,,,9139956
109,1,392.0,189.0,9138312.0,9138893
110,2,353.0,151.0,9138312.0,9138816
111,0,7206.0,806.0,97965.0,105977
112,0,378.0,270.0,11931.0,12579
113,1,,,,12579
114,1,914.0,326.0,218242.0,219482
115,0,8402.0,2972.0,5267969.0,5279343
116,0,1662.0,178.0,5267969.0,5269809
117,2,0.0,1.0,7503.0,7504
118,2,,,,7504
119,0,2.0,4.0,6101.0,6107
120,1,13.0,1.0,178.0,192
121,0,,,,192
122,1,47475.0,11950.0,6685575.0,6745000
123,0,1149.0,205.0,1176739.0,1178093
124,0,1628.0,345.0,1176739.0,1178712
125,1,3920.0,689.0,53036.0,57645
126,1,6203.0,1536.0,436635.0,444374
127,1,171.0,109.0,257990.0,258270
128,1,41.0,15.0,257990.0,258046
129,0,217.0,92.0,8080224.0,8080533
130,0,160.0,112.0,1437004.0,1437276
131,0,137.0,53.0,30695.0,30885
132,2,8467.0,4032.0,23717.0,36216
133,1,634.0,307.0,218.0,1159
134,0,15103.0,2013.0,2031608.0,2048724
135,1,1453.0,465.0,183867.0,185785
136,0,370673.0,92904.0,54097332.0,54560909
137,0,195.0,128.0,1384.0,1707
138,0,35.0,10.0,1384.0,1429
139,1,671.0,141.0,356567.0,357379
140,2,8467.0,4032.0,23717.0,36216
141,0,,,,36216
142,1,13.0,1.0,178.0,192
143,2,46.0,24.0,58825.0,58895
144,0,447.0,304.0,374.0,1125
145,0,,,,1125
146,1,5661.0,2354.0,210772.0,218787
147,1,0.0,0.0,0.0,0
148,0,195.0,128.0,1384.0,1707
149,0,34.0,17.0,1164.0,1215
150,0,9.0,8.0,1164.0,1181
151,0,195.0,128.0,1384.0,1707
152,1,1563.0,391.0,47197.0,49151
153,0,4236.0,647.0,2474331.0,2479214
154,1,671.0,141.0,356567.0,357379
155,2,,,,357379
156,0,2.0,0.0,63.0,65
157,0,1672.0,496.0,1429979.0,1432147
158,0,117.0,27.0,1429979.0,1430123
159,0,0.0,0.0,1.0,1
160,1,0.0,1.0,6995.0,6996
161,0,3.0,0.0,6.0,9
162,0,624.0,214.0,26902.0,27740
163,2,,,,27740
164,1,2.0,1.0,1267.0,1270
165,0,,,,1270
166,2,,,,1270
167,2,0.0,1.0,7503.0,7504
168,0,64.0,25.0,43763.0,43852
169,1,2.0,1.0,1267.0,1270
170,0,47.0,64.0,38169.0,38280
171,1,79.0,46.0,1332644.0,1332769
172,1,5893.0,1929.0,2178718.0,2186540
173,1,242.0,54.0,104757.0,105053
174,0,778.0,125.0,37506.0,38409
175,0,777.0,125.0,37506.0,38408
176,1,780.0,147.0,189673.0,190600
177,0,,,,190600
178,2,5499.0,1671.0,577180.0,584350
179,0,41.0,31.0,4358.0,4430
180,2,829.0,130.0,1854150.0,1855109
181,0,399.0,141.0,9020461.0,9021001
182,0,16.0,5.0,102901.0,102922
183,0,16.0,6.0,102901.0,102923
184,0,1182.0,205.0,5860206.0,5861593
185,1,67.0,61.0,916.0,1044
186,0,,,,1044
187,0,,,,1044
188,2,266.0,57.0,31483.0,31806
189,0,186.0,54.0,31483.0,31723
190,0,,,,31723
191,1,,,,31723
192,1,571.0,113.0,5267972.0,5268656
193,0,2.0,1.0,16749.0,16752
194,0,110.0,68.0,579827.0,580005
195,0,4.0,1.0,969.0,974
196,0,2.0,3.0,88.0,93
197,1,,,,93
198,2,70.0,16.0,48422.0,48508
199,0,8676.0,2104.0,269399.0,280179
200,2,,,,280179
201,1,63.0,50.0,85527.0,85640
202,1,76.0,40.0,9003.0,9119
203,0,,,,9119
204,1,79.0,40.0,33141.0,33260
205,0,93020.0,8714.0,26776949.0,26878683
206,1,,,,26878683
207,0,84.0,36.0,24705.0,24825
208,1,63.0,50.0,85527.0,85640
209,0,345.0,101.0,5114.0,5560
210,0,3.0,2.0,1168.0,1173
211,0,,,,1173
212,0,,,,1173
213,0,816.0,163.0,284203.0,285182
214,1,649.0,86.0,2474330.0,2475065
215,0,547.0,294.0,825141.0,825982
216,0,,,,825982
217,2,530.0,81.0,76178.0,76789
218,1,62.0,50.0,85526.0,85638
219,1,166.0,128.0,3103582.0,3103876
220,0,,,,3103876
221,1,104.0,49.0,28671.0,28824
222,0,816.0,163.0,284203.0,285182
223,0,277.0,49.0,666.0,992
224,0,276.0,49.0,666.0,991
225,1,5.0,6.0,161552.0,161563
226,0,3.0,1.0,33489.0,33493
227,1,118.0,24.0,401768.0,401910
228,0,11092.0,1320.0,1383057.0,1395469
229,0,11093.0,1320.0,1383057.0,1395470
230,2,9.0,0.0,570.0,579
231,0,3.0,0.0,573.0,576
232,1,6495.0,2635.0,558397.0,567527
233,0,18.0,5.0,1200.0,1223
234,2,180.0,44.0,71337.0,71561
235,0,572.0,220.0,71337.0,72129
236,0,781.0,298.0,204264.0,205343
237,0,9856.0,2716.0,7725890.0,7738462
238,1,1.0,1.0,12.0,14
239,0,1284.0,415.0,4685.0,6384
240,0,9855.0,2716.0,7725890.0,7738461
241,1,59.0,26.0,31785.0,31870
242,2,0.0,0.0,9.0,9
243,0,,,,9
244,1,396.0,62.0,69816.0,70274
245,1,63.0,50.0,85527.0,85640
246,2,,,,85640
247,1,49.0,3.0,1925.0,1977
248,1,32953.0,8420.0,1719642.0,1761015
249,0,242.0,3.0,1719642.0,1719887
250,0,2841.0,1176.0,69.0,4086
251,1,64790.0,8946.0,2312164.0,2385900
252,0,21589.0,1716.0,262983.0,286288
253,2,,,,286288
254,1,1829.0,328.0,153056.0,155213
255,2,21197.0,4163.0,592597.0,617957
256,0,,,,617957
257,1,2616.0,677.0,475232.0,478525
258,1,2615.0,677.0,475232.0,478524
259,0,2820.0,373.0,134047.0,137240
260,2,48.0,19.0,9020463.0,9020530
261,0,2.0,1.0,7139.0,7142
262,0,5.0,2.0,5820.0,5827
263,0,4.0,3.0,5820.0,5827
264,0,,,,5827
265,0,895.0,403.0,182653.0,183951
266,0,1389.0,796.0,2221.0,4406
267,2,8184.0,4021.0,32569.0,44774
268,1,396.0,62.0,69816.0,70274
269,1,184.0,118.0,30219.0,30521
270,0,2694.0,645.0,1443645.0,1446984
271,0,4.0,1.0,969.0,974
272,0,22.0,22.0,466.0,510
273,0,6.0,1.0,33.0,40
274,1,,,,40
275,1,36697.0,4018.0,816130.0,856845
276,0,3.0,2.0,1718.0,1723
277,0,3.0,2.0,1718.0,1723
278,0,13.0,8.0,61461.0,61482
279,0,459649.0,78201.0,647910.0,1185760
280,1,,,,1185760
281,0,15.0,5.0,1968.0,1988
282,0,3139.0,368.0,2145014.0,2148521
283,0,302.0,34.0,260866.0,261202
284,0,4.0,1.0,969.0,974
285,0,11.0,6.0,949.0,966
286,0,793.0,447.0,569609.0,570849
287,0,2474.0,1948.0,247068.0,251490
288,0,900.0,94.0,428056.0,429050
289,0,940.0,56.0,1268573.0,1269569
290,0,3093.0,1674.0,11060.0,15827
291,1,866.0,369.0,182653.0,183888
292,2,139.0,164.0,3934.0,4237
293,0,,,,4237
294,0,,,,4237
295,0,,,,4237
296,1,6264.0,2847.0,223989.0,233100
297,0,4660.0,2038.0,206072.0,212770
298,0,,,,212770
299,0,0.0,0.0,253.0,253
300,0,40.0,15.0,2353.0,2408
301,1,23.0,11.0,21667.0,21701
302,1,15556.0,3280.0,140270.0,159106
303,0,108.0,109.0,2941.0,3158
304,0,93.0,62.0,2904.0,3059
305,2,,,,3059
306,0,12.0,11.0,14143.0,14166
307,0,0.0,0.0,1363699.0,1363699
