,topic,likes,retweets,followers,interaction_sum,polarity,subjectivity
0,1,329.0,76.0,9743.0,10148,0.34571428571428575,0.4228571428571429
1,3,5206.0,2421.0,49625840.0,49633467,0.0,0.0
2,3,37.0,29.0,1409696.0,1409762,0.0,0.0
3,3,2611.0,1438.0,4583.0,8632,0.0,0.0
4,3,485.0,187.0,27194.0,27866,0.4333333333333333,0.7333333333333333
5,0,201.0,277.0,45060.0,45538,-0.18333333333333338,0.3333333333333333
6,3,790.0,213.0,14867220.0,14868223,0.0,0.0
7,3,788.0,213.0,14868917.0,14869918,0.0,0.0
8,0,52235.0,7299.0,45462809.0,45522343,-0.78125,1.0
9,0,104.0,69.0,5175.0,5348,-0.5,1.0
10,3,5574.0,2760.0,1014.0,9348,0.0,0.0
11,3,,,,9348,-0.5,1.0
12,3,131.0,39.0,57747.0,57917,0.0,0.0
13,3,36967.0,7523.0,6685574.0,6730064,0.2916666666666667,0.6666666666666666
14,3,0.0,0.0,1029.0,1029,0.5,0.5
15,0,6013.0,1046.0,177535.0,184594,-0.4000000000000001,0.6
16,0,6013.0,1046.0,177535.0,184594,-0.4000000000000001,0.6
17,3,184.0,76.0,19586.0,19846,-0.5,0.5333333333333333
18,0,,,,19846,-0.5,1.0
19,3,109.0,32.0,10704.0,10845,0.125,0.125
20,1,,,,10845,0.0,0.0
21,3,74.0,20.0,160971.0,161065,0.4,1.0
22,3,74.0,20.0,160971.0,161065,0.4,1.0
23,3,9.0,4.0,7263.0,7276,0.1,0.4
24,3,,,,7276,0.0,0.0
25,3,37.0,29.0,1409696.0,1409762,0.0,0.0
26,3,2611.0,1438.0,4583.0,8632,0.0,0.0
27,3,485.0,187.0,27194.0,27866,0.4333333333333333,0.7333333333333333
28,0,4.0,1.0,98.0,103,-0.5,1.0
29,1,,,,103,0.0,0.0
30,3,54.0,60.0,13265.0,13379,0.0,0.0
31,3,392.0,189.0,9138312.0,9138893,0.0,0.0
32,3,,,,9138893,0.0,0.0
33,0,485.0,367.0,636088.0,636940,0.26666666666666666,0.5666666666666667
34,1,2.0,4.0,6101.0,6107,-0.16666666666666666,0.06666666666666667
35,3,47475.0,11950.0,6685575.0,6745000,0.0,0.0
36,3,160.0,112.0,1437004.0,1437276,-0.3,0.7
37,3,137.0,53.0,30695.0,30885,0.03333333333333333,0.06666666666666667
38,3,8467.0,4032.0,23717.0,36216,0.0,0.0
39,3,15103.0,2013.0,2031608.0,2048724,0.0,0.0
40,3,370673.0,92904.0,54097332.0,54560909,-0.6,0.9
41,0,195.0,128.0,1384.0,1707,-0.5,1.0
42,3,8467.0,4032.0,23717.0,36216,0.0,0.0
43,3,0.0,0.0,0.0,0,0.3,0.0
44,0,195.0,128.0,1384.0,1707,-0.5,1.0
45,3,9.0,8.0,1164.0,1181,0.19999999999999998,0.3666666666666667
46,0,195.0,128.0,1384.0,1707,-0.5,1.0
47,0,42.0,36.0,4570402.0,4570480,-0.15000000000000002,0.4
48,3,4236.0,647.0,2474331.0,2479214,0.0,0.0
49,3,1672.0,496.0,1429979.0,1432147,0.32222222222222224,0.6666666666666666
50,3,0.0,0.0,1.0,1,0.05,0.2285714285714286
51,3,,,,1,0.0,0.0
52,0,3.0,0.0,6.0,9,-0.2,0.7
53,3,,,,9,0.0,0.0
54,3,399.0,141.0,9020461.0,9021001,0.0,0.0
55,3,1182.0,205.0,5860206.0,5861593,0.0,0.06666666666666667
56,0,67.0,61.0,916.0,1044,0.125,0.55
57,3,413.0,277.0,9138315.0,9139005,0.0,0.0
58,1,266.0,57.0,31483.0,31806,0.0,0.1
59,0,,,,31806,-0.3,0.7
60,3,11396.0,2399.0,5267972.0,5281767,0.1,0.4
61,3,571.0,113.0,5267972.0,5268656,0.0,0.0
62,3,4.0,1.0,969.0,974,-0.3166666666666667,0.3
63,3,2.0,3.0,88.0,93,0.4,0.7
64,0,,,,93,-0.3,0.7
65,3,8676.0,2104.0,269399.0,280179,0.0,0.0
66,3,26.0,9.0,56260.0,56295,0.0,0.0
67,3,92886.0,23312.0,666739.0,782937,0.6,0.9
68,0,93020.0,8714.0,26776949.0,26878683,-0.2,0.7
69,3,345.0,101.0,5114.0,5560,-0.2,0.7
70,3,3.0,2.0,1168.0,1173,0.0,0.0
71,3,,,,1173,0.0,0.0
72,3,816.0,163.0,284203.0,285182,0.1,0.17500000000000002
73,0,547.0,294.0,825141.0,825982,-0.18333333333333338,0.3333333333333333
74,3,,,,825982,0.0,0.0
75,3,104.0,49.0,28671.0,28824,0.0,0.0
76,3,816.0,163.0,284203.0,285182,0.1,0.17500000000000002
77,3,5.0,6.0,161552.0,161563,0.0,0.0
78,3,2.0,1.0,1903.0,1906,0.0,0.0
