,screen_name,en_astroturf,en_fake_follower,en_financial,en_other,en_overall,en_self_declared,en_spammer,astroturf,fake_follower,financial,other,overall,self_declared,spammer,en_cap,universal_cap
0,@HCI_London,0.05,0.01,0.0,0.39,0.24,0.0,0.0,0.05,0.04,0.0,0.29,0.5,0.0,0.0,0.7384783166429812,0.8053787930995948
1,@nagma_morarji,0.04,0.03,0.0,0.31,0.11,0.0,0.0,0.04,0.02,0.0,0.15,0.21,0.0,0.0,0.5027122940873614,0.7219510972984345
2,@thefirstindia,0.1,0.39,0.0,0.82,0.82,0.52,0.2,0.1,0.26,0.01,0.78,0.78,0.43,0.16,0.8199148539199458,0.8148417533461276
3,@CarlosBolsonaro,0.11,0.06,0.07,0.49,0.4,0.05,0.0,0.15,0.08,0.04,0.44,0.31,0.01,0.0,0.7946723107742963,0.7897432630001835
4,@SrSameer_,0.02,0.29,0.02,0.46,0.37,0.03,0.27,0.02,0.21,0.02,0.35,0.28,0.07,0.22,0.7920317685697057,0.7784494983408411
5,@nucholibre,0.19,0.05,0.0,0.13,0.02,0.0,0.0,0.25,0.02,0.0,0.14,0.02,0.0,0.01,0.2520419704315795,0.2603678379426137
6,@NigeriaNewsdesk,0.06,0.16,0.0,0.91,0.91,0.53,0.02,0.09,0.13,0.05,0.91,0.91,0.63,0.03,0.8748575042966269,0.8733944954488508
7,@CMOTamilnadu,0.06,0.19,0.01,0.72,0.72,0.46,0.02,0.06,0.11,0.0,0.73,0.73,0.38,0.01,0.7989890411370751,0.8082278383974655
8,@belduque,0.16,0.07,0.02,0.58,0.4,0.0,0.01,0.17,0.04,0.0,0.21,0.13,0.0,0.01,0.7946723107742963,0.5742686032713971
9,@_nazirulmuuubin,0.0,0.2,0.03,0.15,0.23,0.0,0.11,0.0,0.15,0.02,0.24,0.1,0.0,0.02,0.7287106185584935,0.49449072748283696
10,@CharlottePetriG,0.2,0.02,0.0,0.3,0.27,0.0,0.0,0.1,0.02,0.0,0.13,0.22,0.0,0.0,0.7611878625273879,0.7334998320027682
11,@ECUADORCHEQUEA,0.21,0.26,0.01,0.88,0.88,0.14,0.11,0.19,0.2,0.0,0.69,0.69,0.05,0.05,0.8524047631581662,0.8060512678410475
12,@RepGosar,0.31,0.05,0.01,0.26,0.03,0.0,0.0,0.3,0.1,0.0,0.22,0.44,0.0,0.0,0.2787259978325127,0.8045992970534486
13,@guidoayalatic,0.16,0.04,0.0,0.47,0.14,0.0,0.0,0.06,0.0,0.0,0.05,0.01,0.0,0.0,0.5778862084370772,0.23332432370635456
14,@r_doble,0.04,0.15,0.01,0.34,0.23,0.0,0.0,0.07,0.01,0.0,0.09,0.04,0.0,0.0,0.7287106185584935,0.31739450135566455
15,@Charlot26505608,0.19,0.61,0.25,0.61,0.73,0.73,0.48,0.02,0.84,0.18,0.92,0.92,0.73,0.4,0.7998362042473794,0.8808312676897403
16,@cnnphilippines,0.05,0.18,0.0,0.73,0.73,0.22,0.02,0.03,0.17,0.02,0.8,0.8,0.13,0.03,0.7998362042473794,0.8193478253485871
17,@globaltimesnews,0.11,0.22,0.0,0.62,0.62,0.21,0.05,0.08,0.18,0.02,0.75,0.75,0.15,0.01,0.796622208632847,0.8102129289660348
18,@DrMattMcCarthy,0.14,0.07,0.0,0.55,0.55,0.01,0.01,0.05,0.09,0.0,0.3,0.35,0.02,0.01,0.797053679565984,0.7982287282125168
19,@CHU_Montpellier,0.16,0.08,0.0,0.54,0.4,0.01,0.0,0.08,0.01,0.0,0.23,0.41,0.0,0.0,0.7946723107742963,0.8035432096295109
20,@INPS_it,0.09,0.14,0.01,0.82,0.82,0.27,0.01,0.04,0.08,0.01,0.64,0.26,0.12,0.03,0.8199148539199458,0.7674214324358889
21,@DETLEFSENPatri1,0.15,0.15,0.0,0.49,0.28,0.01,0.02,0.16,0.04,0.0,0.22,0.28,0.0,0.01,0.7668769621923945,0.7784494983408411
22,@ZhangZhulin,0.02,0.07,0.0,0.42,0.2,0.0,0.01,0.0,0.01,0.0,0.17,0.09,0.0,0.0,0.6915799517497913,0.4658392474232361
23,@elsemblante,0.45,0.25,0.0,0.62,0.62,0.01,0.0,0.38,0.18,0.0,0.3,0.24,0.0,0.0,0.796622208632847,0.7527121552274618
24,@HardeepSPuri,0.26,0.03,0.0,0.44,0.44,0.0,0.01,0.18,0.02,0.0,0.17,0.23,0.01,0.0,0.7964100716330078,0.7437205366967014
25,@vanranstmarc,0.21,0.06,0.0,0.28,0.36,0.02,0.0,0.16,0.01,0.0,0.19,0.21,0.0,0.0,0.7907586934369296,0.7219510972984345
26,@bbc5live,0.23,0.13,0.0,0.41,0.55,0.05,0.0,0.22,0.14,0.0,0.46,0.38,0.01,0.01,0.797053679565984,0.801617083559931
27,@AF_indian,0.04,0.33,0.11,0.63,0.29,0.23,0.18,0.03,0.35,0.08,0.52,0.27,0.19,0.14,0.7717813288270262,0.7733457112766196
28,@DeKUTkenya,0.09,0.25,0.0,0.44,0.26,0.08,0.03,0.07,0.27,0.0,0.64,0.25,0.05,0.01,0.7546218700467833,0.760577756485164
29,@YusufDFI,0.15,0.04,0.0,0.24,0.23,0.0,0.0,0.17,0.03,0.0,0.16,0.2,0.0,0.0,0.7287106185584935,0.7089830786080018
30,@VOX_Congreso,0.2,0.06,0.0,0.57,0.41,0.02,0.0,0.16,0.01,0.0,0.28,0.41,0.0,0.0,0.7952555385005927,0.8035432096295109
31,@MartePiantini,0.25,0.09,0.0,0.59,0.24,0.0,0.0,0.21,0.05,0.0,0.34,0.28,0.0,0.0,0.7384783166429812,0.7784494983408411
32,@asahi,0.1,0.23,0.04,0.85,0.85,0.09,0.03,0.14,0.16,0.07,0.6,0.6,0.07,0.06,0.8339181685112829,0.8052444082217497
33,@Cosecha_del_62,0.02,0.53,0.07,0.73,0.73,0.25,0.43,0.03,0.33,0.02,0.8,0.8,0.09,0.27,0.7998362042473794,0.8193478253485871
34,@apcvalladolid,0.06,0.15,0.01,0.88,0.88,0.44,0.02,0.07,0.08,0.0,0.66,0.66,0.43,0.02,0.8524047631581662,0.8054092120440788
35,@brajeshlive,0.18,0.32,0.02,0.83,0.83,0.43,0.01,0.16,0.28,0.0,0.86,0.86,0.41,0.03,0.8240917140475522,0.8421031637823202
36,@EPhilippe_LH,0.09,0.02,0.0,0.3,0.21,0.0,0.01,0.04,0.02,0.0,0.17,0.53,0.0,0.0,0.7053377817049258,0.8054309326193666
37,@balfederico,0.03,0.03,0.0,0.25,0.17,0.0,0.01,0.04,0.01,0.0,0.09,0.14,0.0,0.0,0.6414184221423734,0.5982419966968565
38,@MaziCBK,0.06,0.12,0.0,0.05,0.03,0.0,0.0,0.04,0.14,0.0,0.13,0.03,0.0,0.0,0.2787259978325127,0.28846389695411967
39,@paololuers,0.15,0.03,0.0,0.38,0.3,0.01,0.0,0.06,0.0,0.0,0.25,0.5,0.0,0.0,0.7759887465100499,0.8053787930995948
40,@Gerard1945X,0.13,0.22,0.01,0.68,0.68,0.06,0.02,0.1,0.08,0.0,0.52,0.25,0.01,0.0,0.797075908158591,0.760577756485164
41,@shashan29150961,0.04,0.95,0.45,0.93,0.95,0.63,0.7,0.01,0.97,0.5379999999999999,0.75,0.97,0.76,0.4396666666666667,0.9077975241648624,0.9197876419218655
42,@josefinaIBVM,0.03,0.15,0.05,0.46,0.18,0.01,0.03,0.0,0.02,0.0,0.05,0.06,0.0,0.0,0.659646495284545,0.37678996390568303
43,@ParaMicroBio,0.35,0.13,0.0,0.5,0.22,0.0,0.0,0.26,0.06,0.0,0.16,0.08,0.0,0.0,0.7176911080698488,0.43650814830094437
44,@EricTopol,0.13,0.07,0.0,0.36,0.23,0.0,0.0,0.11,0.01,0.0,0.33,0.25,0.0,0.0,0.7287106185584935,0.760577756485164
45,@KeishaBottoms,0.12,0.03,0.0,0.15,0.16,0.0,0.0,0.17,0.0,0.0,0.13,0.23,0.0,0.0,0.621687023966582,0.7437205366967014
46,@RegBerlin,0.2,0.09,0.0,0.68,0.68,0.03,0.0,0.12,0.05,0.0,0.32,0.47,0.01,0.0,0.797075908158591,0.8051418496928587
47,@rahulkanwal,0.2,0.02,0.0,0.24,0.21,0.01,0.01,0.19,0.13,0.0,0.22,0.27,0.01,0.0,0.7053377817049258,0.7733457112766196
48,@_Chinioty,0.06,0.26,0.03,0.46,0.34,0.12,0.07,0.01,0.08,0.0,0.36,0.06,0.01,0.01,0.7874002196908744,0.37678996390568303
49,@elmonosanchezof,0.08,0.08,0.0,0.63,0.28,0.06,0.07,0.11,0.04,0.0,0.26,0.3,0.02,0.07,0.7668769621923945,0.7865642668428161
50,@umashankarsingh,0.06,0.04,0.0,0.52,0.24,0.0,0.0,0.09,0.02,0.0,0.21,0.18,0.0,0.0,0.7384783166429812,0.6784864269642225
51,@mohsinmalvi19,0.7,0.46,0.0,0.53,0.7,0.03,0.02,0.79,0.44,0.02,0.48,0.79,0.06,0.02,0.797782173166965,0.8169336709169681
52,@RameshK73296223,0.03,0.93,0.25,0.8,0.93,0.58,0.75,0.0,0.95,0.31,0.88,0.95,0.76,0.41,0.8912318555080615,0.904303821618659
53,@agirgupta,0.06,0.25,0.02,0.22,0.11,0.06,0.03,0.04,0.22,0.03,0.17,0.17,0.06,0.06,0.5027122940873614,0.6608500314332488
54,@mvankerkhove,0.1,0.0,0.0,0.19,0.19,0.0,0.0,0.08,0.01,0.0,0.16,0.41,0.0,0.0,0.6763619064808265,0.8035432096295109
