,title,text,claimDate,reviewDate,claimant,publisher,url,label,poynter,poynter_title
0,,A video shows children walking with their legs apart because of anal Covid-19 tests,2021-01-29T00:00:00Z,2021-02-05T18:39:21Z,Son Dakikalar Tarihi Koklayan Adam’dan!,The France 24 Observers,https://observers.france24.com/en/asia-pacific/20210205-covid-19-anal-tests-in-china-why-this-viral-video-is-actually-fake,False,0,video shows children coming out of anal swab test in china
1,Doctors administering COVID-19 vaccines aren't guilty of war crimes,"Doctors and nurses who administer the coronavirus vaccine can be ""tried as war criminals.""",2021-02-06T00:00:00Z,,Bloggers,PolitiFact,https://www.politifact.com/factchecks/2021/feb/11/blog-posting/doctors-administering-covid-19-vaccines-arent-guil/,Pants on Fire,1,doctors and nurses who administer the coronavirus vaccine can be tried as war criminals
2,,We don’t know the Covid-19 vaccines are safe because the trial of them is still underway and won’t finish until 2023 so anyone getting the vaccine is being experimented on.,,2021-02-05T00:00:00Z,,Full Fact,https://fullfact.org/online/war-criminals-covid/,Multiple phases of trials have shown the approved vaccines to be safe and effective. Ongoing monitoring and further trials does not disprove this.,0,doctors and nurses who administer the coronavirus vaccine can be tried as war criminals
3,,"Because of this, the healthcare workers administering vaccines will be tried as war criminals because they are breaking the Nuremberg code when it comes to consenting to being part of an experiment.",,2021-02-05T00:00:00Z,,Full Fact,https://fullfact.org/online/war-criminals-covid/,Those getting the vaccine in the national roll-out are not being experimented on. They must give consent to get the vaccine which includes being given information on potential risks of both getting it and not getting it.,0,doctors and nurses who administer the coronavirus vaccine can be tried as war criminals
4,Sweden's low COVID-19 death tally in July ignores other markers of ...,"Sweden had few COVID deaths in July, despite low vaccination rates, relaxed lockdown rules and low mask compliance.",2021-08-02T00:00:00Z,,Steve Deace,PolitiFact,https://www.politifact.com/factchecks/2021/aug/06/steve-deace/swedens-low-covid-19-death-tally-july-ignores-othe/,Half True,0,sweden achieved herd immunity without vaccination
5,,Blowing vape smoke through face masks shows that they do not help prevent the spread of coronavirus,2020-09-06T00:00:00Z,2021-02-06T01:52:00Z,multiple sources,AFP Fact Check,https://factcheck.afp.com/doctor-expired-license-falsely-claims-masks-dont-work,False,1,a man blowing vape smoke through various face masks shows that they do not help prevent the spread of coronavirus
6,Fact check: Merck discontinues COVID-19 vaccine work over weak ...,U.S. pharmaceutical company Merck said it scrapped its COVID-19 vaccine trials because it was more effective to contract the virus and recover,2021-01-26T00:00:00Z,2021-01-28T22:07:42Z,social media users,USA Today,https://www.usatoday.com/story/news/factcheck/2021/01/28/fact-check-merck-ends-covid-19-vaccine-work-based-immune-response/4292935001/,False,0,us pharmaceutical company merck discontinued covid19 vaccine research and said recovering from the virus would be more effective
7,,Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover,2021-01-26T00:00:00Z,2021-02-08T22:48:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/article-misleads-mercks-decision-drop-covid-19-vaccines,Missing context,1,us pharmaceutical company merck discontinued covid19 vaccine research and said recovering from the virus would be more effective
8,"Video Airs False, Misleading Claims About Face Masks","Face masks have been proven ""unsafe"" and ""ineffective,"" and cause ""facial deformities.""",2021-02-12T00:00:00Z,,Eric Nepute,FactCheck.org,https://www.factcheck.org/2021/02/scicheck-video-airs-false-misleading-claims-about-face-masks/,False,0,us national institute of health has said that the use of masks causes deaths from bacterial pneumonia
9,Dr. Anthony Fauci didn't blame masks for 1918-19 flu deaths,Says Dr. Anthony Fauci wrote a paper blaming 1918-19 flu deaths on masks.,2020-10-19T00:00:00Z,,Facebook posts,PolitiFact,https://www.politifact.com/factchecks/2020/oct/21/facebook-posts/dr-anthony-fauci-didnt-blame-masks-1918-19-flu-dea/,False,0,us national institute of health has said that the use of masks causes deaths from bacterial pneumonia
10,A 2008 study co-authored by Anthony Fauci did not find that masks ...,“Most of the victims of the Spanish flu didn’t die from the Spanish flu. They died from bacterial pneumonia. And the bacterial pneumonia was caused by [...] wearing masks”,2020-10-23T00:00:00Z,2020-10-23T00:00:00Z,Anonymous,Health Feedback,https://healthfeedback.org/claimreview/a-2008-study-co-authored-by-anthony-fauci-did-not-find-that-masks-caused-bacterial-pneumonia-contrary-to-viral-social-media-claim/,Inaccurate,0,us national institute of health has said that the use of masks causes deaths from bacterial pneumonia
11,Fact check: Long-term face mask use will not cause lung cancer,"Long-term mask-wearing may cause advanced-stage lung cancer, one study shows",2021-01-29T00:00:00Z,2021-02-16T21:56:30Z,Blacklisted News,USA Today,https://www.usatoday.com/story/news/factcheck/2021/02/16/fact-check-long-term-face-mask-wearing-does-not-cause-lung-cancer/6702733002/,False,0,wearing mask can cause lung cancer
12,Article claiming that masks contribute to cancer development ...,"“Long-term Mask Use May Contribute to Advanced Stage Lung Cancer, Study Finds”",2021-10-02T00:00:00Z,2021-01-29T00:00:00Z,Philip Schneider,Health Feedback,https://healthfeedback.org/claimreview/article-claiming-that-masks-contribute-to-cancer-development-misrepresents-a-study-about-lung-cancer-which-didnt-involve-masks-at-all/,Inaccurate,0,wearing mask can cause lung cancer
13,Fact-Check: Study Misquoted to Claim Wearing Masks Causes Cancer,Long-term use of face mask for COVID-19 will cause lung cancer,2021-03-02T12:08:51Z,2021-03-02T12:08:51Z,"Facebook,Twitter",Quint Fit,https://fit.thequint.com/fit-webqoof/fact-check-study-misrepresented-to-claim-face-masks-for-covid-causes-cancer,False,0,wearing mask can cause lung cancer
