,claimReviewed,datePublished,author_name,url
0,"The delta variant of the coronavirus ""is not showing more deaths, it is not showing more of a problem.""",2021-08-26,FactCheck.org,https://www.factcheck.org/2021/08/scicheck-chiropractor-again-peddles-false-misleading-covid19-claims/
1,"Le coronavirus n'est pas entré en Belgique, mais seulement dans l'imaginaire de la population.",2021-08-26,dpa,https://dpa-factchecking.com/belgium/210826-99-979021/
2,"Het pfizervaccin is helemaal niet goedgekeurd door de FDA, de noodauthorisatie is alleen voor onbepaalde tijd verlengd.",2021-08-26,dpa,https://dpa-factchecking.com/netherlands/210826-99-974831
3,"Singapura tornou-se o primeiro país do mundo a realizar uma autópsia (post-mortem) de um corpo COVID-19 Depois de uma investigação minuciosa, descobriu-se que a Covid-19 não existe como um vírus, mas sim como uma bactéria",2021-08-25,Boatos.org,https://www.boatos.org/saude/singapura-descobriu-covid-19-causada-bacteria-exposta-radiacao.html
4,“80% of women who have been jabbed have lost their children in the first trimester.”,2021-08-24,PolitiFact,https://www.politifact.com/factchecks/2021/aug/24/facebook-posts/claim-about-covid-19-vaccines-and-miscarriages-bas/
5,FACT CHECK: ගුරු උද්ඝෝෂණයට සහභාගී වීම හේතුවෙන් කොරෝනා ආසාදනය වී මියගිය ගුරුවරුන් පෙළක් ද?,2021-08-24,Fact Crescendo Sri Lanka,https://srilanka.factcrescendo.com/2021/08/24/10-fake-poster-campaigns-claiming-to-be-covid19-deaths-due-to-teachers-protests/
6,FACT CHECK: ගුරු උද්ඝෝෂණයට හේතුවෙන් කොරෝනා ආසදිතව ජීවිතක්ෂයට පත් වු ගුරුතුමෙක් ද?,2021-08-24,Fact Crescendo Sri Lanka,https://srilanka.factcrescendo.com/2021/08/22/covid19-death-of-a-kegalle-teacher-3-months-ago-shared-as-a-recent-incident/
7,Fact Check: ගුරු උද්ඝෝෂණයට සහභාගි වීමෙන් කොරෝනා ආසධනය වී මියගිය ගුරුවරයෙක්ද?,2021-08-24,Fact Crescendo Sri Lanka,https://srilanka.factcrescendo.com/2021/08/20/covid-19-victim-calming-to-be-a-teacher-from-ratnaputa-was-a-quantity-surveyor/
8,"Die Delta-Variante ist harmloser als frühere Varianten, aber Doppelt-Geimpfte sterben häufiger als Ungeimpfte an der Delta-Variante. ",2021-08-22,BR24-Faktenfuchs,"https://www.br.de/nachrichten/wissen/corona-und-impfung-delta-variante-fuer-geimpfte-nicht-gefaehrlicher-faktenfuchs,SdbgpsH"
9,Eine Corona-Infektion kann Erektionsstörungen auslösen,2021-08-22,BR24-Faktenfuchs,"https://www.br.de/nachrichten/wissen/kann-corona-erektionsstoerungen-verursachen,SfnMSnN"
10,"Der Corona-Vergleich von North Dakota und South Dakota zeigt, dass Maßnahmen wie Maskenpflicht und Lockdowns keine Wirkung haben. (Twitter-Grafik, Wissenschafler, AfD-Politiker im Allgäu)",2021-08-22,BR24-Faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/usa-corona-vergleich-von-north-und-south-dakota-irrefuehrend,SfHfO7q"
11,"Says COVID-19 vaccinations are “a violation of the Nuremberg code.""
",2021-08-20,PolitiFact,https://www.politifact.com/factchecks/2021/aug/20/facebook-posts/covid-19-vaccination-does-not-violate-nuremberg-co/
12,A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,2021-08-20,PolitiFact,https://www.politifact.com/factchecks/2021/aug/20/viral-image/photo-real-it-shows-sick-covid-19-patients-floor-f/
13,There is a “0.05% chance of dying from COVID.”,2021-08-20,PolitiFact,https://www.politifact.com/factchecks/2021/aug/13/tiktok-posts/experts-break-down-numbers-catching-or-dying-covid/
14,FACT CHECK: අගෝස්තු 18 උදෑසන කොවිඩ් ආසාදිත මංගල ජීවිතයට සමු දුන්නාද?,2021-08-20,Fact Crescendo Sri Lanka,https://srilanka.factcrescendo.com/2021/08/18/covid-infected-mangala-samaraweera-did-not-die-on-august-18th-morning/
15,FACT CHECK: ගුරු උද්ඝෝෂණයට සහභාගි වූ කොරෝනා වැළඳී ජීවිතක්ෂයට පත් වූ ගුරු වෘත්තීය සංගමයේ නායකයෙක්?,2021-08-20,Fact Crescendo Sri Lanka,https://srilanka.factcrescendo.com/2021/08/18/misleading-post-implying-diseased-teacher-in-anamaduwa-due-to-covid19-was-active-in-teachers-protests/
16,"“Dado que no hay ninguna prueba para la ‘Variante Delta’, ¿cómo se diagnostica exactamente a las personas con la ‘Variante Delta?”.",2021-08-19,FactCheck.org,https://www.factcheck.org/es/2021/08/scicheck-usan-secuenciacion-para-identificar-delta-y-otras-variantes-del-coronavirus/
17,"""El CDC realmente elaboró un documento que argumenta poner a personas de alto riesgo en campamentos para ‘resguardar’ a las personas de bajo riesgo de ellos” ... cada una de las personas que han hecho una referencia a la Alemania de los años 30 han sido vindicadas”.",2021-08-18,FactCheck.org,https://www.factcheck.org/es/2021/08/scicheck-documento-de-los-cdc-evalua-estrategia-para-proteger-a-personas-desplazadas-del-covid-19/
18,"“If there were truly a pandemic that was ‘overwhelming hospitals,’ then hospitals wouldn’t be laying off thousands of nurses who refuse to take an experimental vaccine,”",2021-08-18,FactCheck.org,https://www.factcheck.org/2021/08/scicheck-hospitals-overwhelmed-by-another-surge-of-covid-19-patients-financial-strain/
