,date
0,2021-08-26
1,2021-08-26
2,2021-08-26
3,2021-08-25
4,2021-08-25
5,2021-08-25
6,2021-08-25
7,2021-08-24
8,2021-08-24
9,2021-08-24
10,2021-08-24
11,2021-08-24
12,2021-08-24
13,2021-08-23
14,2021-08-22
15,2021-08-22
16,2021-08-22
17,2021-08-20
18,2021-08-20
19,2021-08-20
20,2021-08-20
21,2021-08-20
22,2021-08-20
23,2021-08-20
24,2021-08-20
25,2021-08-20
26,2021-08-20
27,2021-08-20
28,2021-08-20
29,2021-08-20
30,2021-08-19
31,2021-08-19
32,2021-08-19
33,2021-08-18
34,2021-08-18
35,2021-08-18
36,2021-08-18
37,2021-08-18
38,2021-08-17
39,2021-08-17
40,2021-08-17
41,2021-08-17
42,2021-08-17
43,2021-08-17
44,2021-08-17
45,2021-08-17
46,2021-08-17
47,2021-08-16
48,2021-08-15
49,2021-08-14
50,2021-08-13
51,2021-08-13
52,2021-08-13
53,2021-08-13
54,2021-08-13
55,2021-08-13
56,2021-08-12
57,2021-08-12
58,2021-08-12
59,2021-08-12
60,2021-08-11
61,2021-08-11
62,2021-08-11
63,2021-08-11
64,2021-08-11
65,2021-08-11
66,2021-08-11
67,2021-08-11
68,2021-08-11
69,2021-08-10
70,2021-08-10
71,2021-08-10
72,2021-08-10
73,2021-08-10
74,2021-08-10
75,2021-08-10
76,2021-08-10
77,2021-08-09
78,2021-08-09
79,2021-08-09
80,2021-08-09
81,2021-08-09
82,2021-08-09
83,2021-08-09
84,2021-08-09
85,2021-08-09
86,2021-08-09
87,2021-08-09
88,2021-08-09
89,2021-08-09
90,2021-08-09
91,2021-08-09
92,2021-08-09
93,2021-08-09
94,2021-08-09
95,2021-08-09
96,2021-08-09
97,2021-08-09
98,2021-08-09
99,2021-08-09
100,2021-08-09
101,2021-08-09
102,2021-08-09
103,2021-08-09
104,2021-08-09
105,2021-08-09
106,2021-08-09
107,2021-08-09
108,2021-08-09
109,2021-08-09
110,2021-08-09
111,2021-08-09
112,2021-08-07
113,2021-08-06
114,2021-08-06
115,2021-08-06
116,2021-08-06
117,2021-08-06
118,2021-08-06
119,2021-08-06
120,2021-08-06
121,2021-08-06
122,2021-08-06
123,2021-08-06
124,2021-08-06
125,2021-08-05
126,2021-08-05
127,2021-08-05
128,2021-08-05
129,2021-08-05
130,2021-08-05
131,2021-08-04
132,2021-08-04
133,2021-08-04
134,2021-08-04
135,2021-08-04
136,2021-08-04
137,2021-08-04
138,2021-08-04
139,2021-08-04
140,2021-08-04
141,2021-08-04
142,2021-08-04
143,2021-08-04
144,2021-08-04
145,2021-08-04
146,2021-08-04
147,2021-08-04
148,2021-08-04
149,2021-08-04
150,2021-08-04
151,2021-08-04
152,2021-08-04
153,2021-08-03
154,2021-08-03
155,2021-08-03
156,2021-08-03
157,2021-08-03
158,2021-08-03
159,2021-08-03
160,2021-08-03
161,2021-08-03
162,2021-08-02
163,2021-08-01
164,2021-08-01
165,2021-07-31
166,2021-07-31
167,2021-07-31
168,2021-07-31
169,2021-07-31
170,2021-07-30
171,2021-07-30
172,2021-07-30
173,2021-07-30
174,2021-07-30
175,2021-07-30
176,2021-07-30
177,2021-07-30
178,2021-07-30
179,2021-07-29
180,2021-07-29
181,2021-07-29
182,2021-07-28
183,2021-07-28
184,2021-07-28
185,2021-07-27
186,2021-07-27
187,2021-07-27
188,2021-07-26
189,2021-07-26
190,2021-07-26
191,2021-07-26
192,2021-07-26
193,2021-07-23
194,2021-07-23
195,2021-07-23
196,2021-07-23
197,2021-07-23
198,2021-07-23
199,2021-07-22
200,2021-07-22
201,2021-07-22
202,2021-07-22
203,2021-07-22
204,2021-07-22
205,2021-07-22
206,2021-07-21
207,2021-07-21
208,2021-07-21
209,2021-07-21
210,2021-07-21
211,2021-07-21
212,2021-07-21
213,2021-07-20
214,2021-07-20
215,2021-07-20
216,2021-07-20
217,2021-07-20
218,2021-07-19
219,2021-07-19
220,2021-07-19
221,2021-07-19
222,2021-07-19
223,2021-07-18
224,2021-07-17
225,2021-07-17
226,2021-07-16
227,2021-07-16
228,2021-07-16
229,2021-07-15
230,2021-07-15
231,2021-07-15
232,2021-07-15
233,2021-07-15
234,2021-07-15
235,2021-07-15
236,2021-07-15
237,2021-07-14
238,2021-07-14
239,2021-07-14
240,2021-07-13
241,2021-07-13
242,2021-07-13
243,2021-07-13
244,2021-07-13
245,2021-07-13
246,2021-07-13
247,2021-07-13
248,2021-07-12
249,2021-07-12
250,2021-07-12
251,2021-07-10
252,2021-07-10
253,2021-07-09
254,2021-07-09
255,2021-07-09
256,2021-07-09
257,2021-07-09
258,2021-07-09
259,2021-07-08
260,2021-07-08
261,2021-07-08
262,2021-07-08
263,2021-07-07
264,2021-07-07
265,2021-07-06
266,2021-07-06
267,2021-07-06
268,2021-07-06
269,2021-07-06
270,2021-07-06
271,2021-07-05
272,2021-07-05
273,2021-07-05
274,2021-07-05
275,2021-07-05
276,2021-07-05
277,2021-07-05
278,2021-07-03
279,2021-07-02
280,2021-07-02
281,2021-07-02
282,2021-07-02
283,2021-07-02
284,2021-07-02
285,2021-07-02
286,2021-07-02
287,2021-07-02
288,2021-07-02
289,2021-07-02
290,2021-07-02
291,2021-07-02
292,2021-07-01
293,2021-07-01
294,2021-07-01
295,2021-07-01
296,2021-07-01
297,2021-07-01
298,2021-07-01
299,2021-07-01
300,2021-07-01
301,2021-07-01
302,2021-06-30
303,2021-06-30
304,2021-06-30
305,2021-06-30
306,2021-06-30
307,2021-06-29
308,2021-06-29
309,2021-06-29
310,2021-06-27
311,2021-06-27
312,2021-06-26
313,2021-06-26
314,2021-06-25
315,2021-06-25
316,2021-06-25
317,2021-06-25
318,2021-06-25
319,2021-06-24
320,2021-06-24
321,2021-06-24
322,2021-06-24
323,2021-06-24
324,2021-06-24
325,2021-06-24
326,2021-06-23
327,2021-06-23
328,2021-06-23
329,2021-06-23
330,2021-06-23
331,2021-06-23
332,2021-06-22
333,2021-06-22
334,2021-06-22
335,2021-06-22
336,2021-06-22
337,2021-06-22
338,2021-06-22
339,2021-06-22
340,2021-06-22
341,2021-06-22
342,2021-06-22
343,2021-06-22
344,2021-06-21
345,2021-06-21
346,2021-06-21
347,2021-06-21
348,2021-06-21
349,2021-06-21
350,2021-06-21
351,2021-06-21
352,2021-06-18
353,2021-06-18
354,2021-06-18
355,2021-06-18
356,2021-06-18
357,2021-06-18
358,2021-06-18
359,2021-06-18
360,2021-06-17
361,2021-06-17
362,2021-06-17
363,2021-06-17
364,2021-06-17
365,2021-06-17
366,2021-06-17
367,2021-06-16
368,2021-06-16
369,2021-06-16
370,2021-06-16
371,2021-06-16
372,2021-06-16
373,2021-06-16
374,2021-06-16
375,2021-06-16
376,2021-06-16
377,2021-06-15
378,2021-06-15
379,2021-06-15
380,2021-06-15
381,2021-06-15
382,2021-06-15
383,2021-06-15
384,2021-06-15
385,2021-06-15
386,2021-06-14
387,2021-06-14
388,2021-06-14
389,2021-06-14
390,2021-06-14
391,2021-06-13
392,2021-06-12
393,2021-06-11
394,2021-06-11
395,2021-06-11
396,2021-06-10
397,2021-06-10
398,2021-06-10
399,2021-06-10
400,2021-06-10
401,2021-06-09
402,2021-06-09
403,2021-06-09
404,2021-06-09
405,2021-06-09
406,2021-06-08
407,2021-06-08
408,2021-06-08
409,2021-06-08
410,2021-06-08
411,2021-06-08
412,2021-06-08
413,2021-06-08
414,2021-06-08
415,2021-06-08
416,2021-06-08
417,2021-06-08
418,2021-06-08
419,2021-06-08
420,2021-06-08
421,2021-06-07
422,2021-06-07
423,2021-06-07
424,2021-06-07
425,2021-06-07
426,2021-06-07
427,2021-06-07
428,2021-06-07
429,2021-06-07
430,2021-06-07
431,2021-06-07
432,2021-06-06
433,2021-06-05
434,2021-06-05
435,2021-06-04
436,2021-06-04
437,2021-06-04
438,2021-06-04
439,2021-06-04
440,2021-06-04
441,2021-06-04
442,2021-06-04
443,2021-06-04
444,2021-06-04
445,2021-06-03
446,2021-06-03
447,2021-06-03
448,2021-06-03
449,2021-06-03
450,2021-06-03
451,2021-06-03
452,2021-06-03
453,2021-06-03
454,2021-06-02
455,2021-06-02
456,2021-06-02
457,2021-06-02
458,2021-06-02
459,2021-06-02
460,2021-06-02
461,2021-06-01
462,2021-06-01
463,2021-06-01
464,2021-06-01
465,2021-06-01
466,2021-06-01
467,2021-06-01
468,2021-06-01
469,2021-06-01
470,2021-06-01
471,2021-06-01
472,2021-06-01
473,2021-05-31
474,2021-05-31
475,2021-05-31
476,2021-05-31
477,2021-05-30
478,2021-05-30
479,2021-05-28
480,2021-05-28
481,2021-05-28
482,2021-05-28
483,2021-05-28
484,2021-05-28
485,2021-05-28
486,2021-05-28
487,2021-05-28
488,2021-05-28
489,2021-05-28
490,2021-05-28
491,2021-05-28
492,2021-05-28
493,2021-05-28
494,2021-05-28
495,2021-05-27
496,2021-05-27
497,2021-05-27
498,2021-05-27
499,2021-05-27
500,2021-05-27
501,2021-05-27
502,2021-05-27
503,2021-05-27
504,2021-05-27
505,2021-05-27
506,2021-05-27
507,2021-05-27
508,2021-05-27
509,2021-05-27
510,2021-05-27
511,2021-05-27
512,2021-05-27
513,2021-05-27
514,2021-05-27
515,2021-05-27
516,2021-05-27
517,2021-05-27
518,2021-05-27
519,2021-05-27
520,2021-05-27
521,2021-05-27
522,2021-05-27
523,2021-05-27
524,2021-05-27
525,2021-05-27
526,2021-05-27
527,2021-05-27
528,2021-05-27
529,2021-05-27
530,2021-05-26
531,2021-05-26
532,2021-05-26
533,2021-05-26
534,2021-05-26
535,2021-05-26
536,2021-05-26
537,2021-05-26
538,2021-05-26
539,2021-05-26
540,2021-05-25
541,2021-05-25
542,2021-05-25
543,2021-05-25
544,2021-05-25
545,2021-05-25
546,2021-05-25
547,2021-05-25
548,2021-05-25
549,2021-05-25
550,2021-05-25
551,2021-05-25
552,2021-05-25
553,2021-05-25
554,2021-05-25
555,2021-05-24
556,2021-05-24
557,2021-05-24
558,2021-05-22
559,2021-05-22
560,2021-05-22
561,2021-05-22
562,2021-05-22
563,2021-05-21
564,2021-05-21
565,2021-05-21
566,2021-05-21
567,2021-05-21
568,2021-05-21
569,2021-05-21
570,2021-05-21
571,2021-05-21
572,2021-05-20
573,2021-05-20
574,2021-05-20
575,2021-05-20
576,2021-05-20
577,2021-05-20
578,2021-05-20
579,2021-05-20
580,2021-05-19
581,2021-05-19
582,2021-05-19
583,2021-05-19
584,2021-05-19
585,2021-05-19
586,2021-05-19
587,2021-05-19
588,2021-05-19
589,2021-05-19
590,2021-05-18
591,2021-05-18
592,2021-05-18
593,2021-05-18
594,2021-05-18
595,2021-05-18
596,2021-05-18
597,2021-05-18
598,2021-05-18
599,2021-05-18
600,2021-05-18
601,2021-05-18
602,2021-05-18
603,2021-05-18
604,2021-05-18
605,2021-05-18
606,2021-05-18
607,2021-05-18
