counter,Topic,Word,P
0,0,peopl,0.011060547083616257
1,0,viru,0.005817885510623455
2,0,vaccin,0.005281975958496332
3,0,one,0.004910591058433056
4,0,covid19,0.00471519585698843
5,0,know,0.004674950148910284
6,0,dont,0.004674835596233606
7,0,health,0.004512780345976353
8,0,go,0.003675781888887286
9,0,also,0.003557453630492091
10,0,home,0.003545956453308463
11,0,doctor,0.0034842996392399073
12,0,mask,0.0034320338163524866
13,0,new,0.0033793149050325155
14,0,even,0.0033570558298379183
15,0,live,0.0033549307845532894
16,0,use,0.0033349499572068453
17,0,bodi,0.003257488366216421
18,0,time,0.003223712556064129
19,0,mani,0.0031733957584947348
20,1,vaccin,0.009426211006939411
21,1,health,0.007664927281439304
22,1,coronaviru,0.0075217606499791145
23,1,patient,0.00715989014133811
24,1,covid19,0.00585936801508069
25,1,day,0.005758536513894796
26,1,peopl,0.005493874661624432
27,1,first,0.004873562138527632
28,1,countri,0.004116974305361509
29,1,take,0.004105147439986467
30,1,viru,0.004014703445136547
31,1,diseas,0.004001733846962452
32,1,die,0.003933423198759556
33,1,blood,0.0038905160035938025
34,1,inform,0.0036392281763255596
35,1,ph,0.0035257255658507347
36,1,start,0.003492810297757387
37,1,share,0.003142292844131589
38,1,care,0.0031150407157838345
39,1,mani,0.0029503379482775927
40,2,vaccin,0.016925189644098282
41,2,viru,0.010754670016467571
42,2,know,0.00845433957874775
43,2,health,0.006780290510505438
44,2,world,0.006679831072688103
45,2,inform,0.005790994968265295
46,2,peopl,0.005554404575377703
47,2,countri,0.0052985502406954765
48,2,news,0.004891424439847469
49,2,death,0.004847526550292969
50,2,test,0.004589827265590429
51,2,share,0.0043286471627652645
52,2,covid,0.004212509375065565
53,2,china,0.00405155261978507
54,2,one,0.003990588244050741
55,2,covid19,0.0038777103181928396
56,2,state,0.003826279193162918
57,2,fake,0.0038141708355396986
58,2,mani,0.003802102291956544
59,2,patient,0.003786119632422924
60,3,work,0.020731011405587196
61,3,home,0.020456507802009583
62,3,well,0.019965598359704018
63,3,back,0.01910611055791378
64,3,soon,0.018384961411356926
65,3,fix,0.017842775210738182
66,3,see,0.010307622142136097
67,3,translat,0.009173168800771236
68,3,peopl,0.009021774865686893
69,3,viru,0.008496579714119434
70,3,coronaviru,0.008449260145425797
71,3,test,0.00684027886018157
72,3,say,0.005728644318878651
73,3,know,0.005562324542552233
74,3,corona,0.005530668422579765
75,3,use,0.004293245729058981
76,3,death,0.004156800918281078
77,3,quarantin,0.0040320889092981815
78,3,world,0.003579274518415332
79,3,also,0.0034988843835890293
80,4,mask,0.00616306671872735
81,4,one,0.005877217277884483
82,4,use,0.005695374682545662
83,4,test,0.005484343972057104
84,4,day,0.005302051082253456
85,4,need,0.004739432595670223
86,4,time,0.004120130091905594
87,4,take,0.004042037297040224
88,4,case,0.003930679988116026
89,4,medic,0.003823427949100733
90,4,etc,0.0036442172713577747
91,4,countri,0.0036266236566007137
92,4,like,0.0036092170048505068
93,4,us,0.0035751599352806807
94,4,peopl,0.003516439814120531
95,4,also,0.0035077582579106092
96,4,wear,0.003405284369364381
97,4,dont,0.00331222009845078
98,4,come,0.003139680717140436
99,4,covid19,0.0030261001083999872
100,5,covid19,0.012358086183667183
101,5,post,0.008925564587116241
102,5,viru,0.008531375788152218
103,5,vitamin,0.005393325816839933
104,5,inform,0.005049946252256632
105,5,corona,0.004799493122845888
106,5,one,0.004537810571491718
107,5,dont,0.004497753921896219
108,5,take,0.00429982366040349
109,5,time,0.004272949881851673
110,5,peopl,0.004252804443240166
111,5,day,0.0041130306199193
112,5,black,0.004072502255439758
113,5,see,0.00397516181692481
114,5,vaccin,0.003934822510927916
115,5,news,0.0038538973312824965
116,5,valu,0.003852445399388671
117,5,hospit,0.003790956921875477
118,5,us,0.0037712387274950743
119,5,live,0.0035633400548249483
120,6,peopl,0.009480754844844341
121,6,world,0.009460823610424995
122,6,vaccin,0.008525838144123554
123,6,countri,0.007941771298646927
124,6,trump,0.007247863803058863
125,6,viru,0.005449019838124514
126,6,covid19,0.005066440906375647
127,6,us,0.004942850209772587
128,6,presid,0.004883534274995327
129,6,pandem,0.004563277121633291
130,6,china,0.0040662880055606365
131,6,like,0.003803411265835166
132,6,forc,0.0037569007836282253
133,6,govern,0.003735756501555443
134,6,go,0.003579032141715288
135,6,also,0.0035048513673245907
136,6,say,0.003488278016448021
137,6,year,0.0034621083177626133
138,6,economi,0.0034585832618176937
139,6,new,0.0034408620558679104
