counter,Topic,Word,P
0,0,covid19,0.01654023490846157
1,0,coronaviru,0.015137912705540657
2,0,claim,0.011233805678784847
3,0,video,0.010875316336750984
4,0,vaccin,0.006789286155253649
5,0,health,0.006425983738154173
6,0,show,0.0055102878250181675
7,0,evid,0.005491089075803757
8,0,fals,0.005116715561598539
9,0,use,0.005061922129243612
10,0,peopl,0.004745594225823879
11,0,viru,0.004725760780274868
12,0,test,0.0046660942025482655
13,0,case,0.0044345548376441
14,0,said,0.00439755292609334
15,0,mislead,0.004167469684034586
16,0,photo,0.0041296472772955894
17,0,imag,0.004011512268334627
18,0,infect,0.003970765508711338
19,0,post,0.0038480544462800026
