counter,Topic,Word,P
0,0,vaccin,0.0352383591234684
1,0,compani,0.010440412908792496
2,0,covid19,0.010280929505825043
3,0,govern,0.00998346321284771
4,0,state,0.008846001699566841
5,0,develop,0.006340205203741789
6,0,trial,0.005549940280616283
7,0,countri,0.00521900225430727
8,0,use,0.004746784456074238
9,0,nation,0.004696843679994345
10,0,receiv,0.004624644760042429
11,0,howev,0.004145639017224312
12,0,clinic,0.004145591054111719
13,0,accord,0.0041168732568621635
14,0,health,0.004115429241210222
15,0,data,0.004085577558726072
16,0,product,0.004073991905897856
17,0,institut,0.004044823348522186
18,0,money,0.003934711217880249
19,0,would,0.003915005829185247
20,1,coronaviru,0.023273006081581116
21,1,covid19,0.01982235535979271
22,1,case,0.017748747020959854
23,1,death,0.015103704296052456
24,1,countri,0.013475152663886547
25,1,pandem,0.012944403104484081
26,1,number,0.012051661498844624
27,1,china,0.011444714851677418
28,1,video,0.010475695133209229
29,1,year,0.009919454343616962
30,1,outbreak,0.009306211955845356
31,1,link,0.007815666496753693
32,1,peopl,0.007657839450985193
33,1,articl,0.007537437602877617
34,1,first,0.007152350153774023
35,1,one,0.006620408035814762
36,1,relat,0.006589870899915695
37,1,report,0.006289931945502758
38,1,lockdown,0.006149626802653074
39,1,time,0.005946877412497997
40,2,video,0.05861059948801994
41,2,imag,0.025929899886250496
42,2,photo,0.02534700743854046
43,2,show,0.024514928460121155
44,2,taken,0.02111446112394333
45,2,pictur,0.015586179681122303
46,2,old,0.014153501950204372
47,2,noth,0.009666760452091694
48,2,real,0.009218252263963223
49,2,shot,0.00908262375742197
50,2,actual,0.008889026939868927
51,2,protest,0.00852830521762371
52,2,viral,0.006648627575486898
53,2,place,0.0062839435413479805
54,2,covid19,0.005951129365712404
55,2,took,0.0048775323666632175
56,2,post,0.0046470980159938335
57,2,man,0.004513281397521496
58,2,origin,0.004477731883525848
59,2,itali,0.0043484303168952465
60,3,covid19,0.03136400878429413
61,3,coronaviru,0.02599380910396576
62,3,evid,0.0178812425583601
63,3,viru,0.015608367510139942
64,3,health,0.012016688473522663
65,3,infect,0.011210128664970398
66,3,mask,0.010902335867285728
67,3,use,0.010820064693689346
68,3,diseas,0.010406851768493652
69,3,studi,0.010230718180537224
70,3,claim,0.009872818365693092
71,3,cure,0.00978055689483881
72,3,prevent,0.00895080715417862
73,3,scientif,0.008835469372570515
74,3,expert,0.008798162452876568
75,3,caus,0.008732514455914497
76,3,effect,0.007969091646373272
77,3,say,0.007930499501526356
78,3,peopl,0.007287975400686264
79,3,vaccin,0.007178932428359985
80,4,test,0.06399855762720108
81,4,posit,0.01556820422410965
82,4,coronaviru,0.015196435153484344
83,4,gate,0.011480390094220638
84,4,covid19,0.01116770226508379
85,4,bill,0.01023325975984335
86,4,confirm,0.007042595651000738
87,4,vaccin,0.0069395131431519985
88,4,pcr,0.006223591510206461
89,4,kit,0.006223062518984079
90,4,result,0.0061311726458370686
91,4,hot,0.006094695068895817
92,4,detect,0.005707053933292627
93,4,case,0.0051938388496637344
94,4,hospit,0.005160280037671328
95,4,neg,0.00496112322434783
96,4,foundat,0.004913129843771458
97,4,use,0.004509719088673592
98,4,pakistan,0.004122811835259199
99,4,new,0.0039336588233709335
100,5,claim,0.03269851952791214
101,5,fals,0.01973225176334381
102,5,mislead,0.012330860830843449
103,5,news,0.012238076888024807
104,5,video,0.012103479355573654
105,5,health,0.010784449055790901
106,5,deni,0.010781507939100266
107,5,post,0.010081194341182709
108,5,media,0.009971576742827892
109,5,report,0.009735383093357086
110,5,statement,0.009237033315002918
111,5,offici,0.008595708757638931
112,5,hospit,0.00829961709678173
113,5,fake,0.00816281232982874
114,5,doctor,0.007903538644313812
115,5,circul,0.007708264980465174
116,5,coronaviru,0.007684540934860706
117,5,ministri,0.007225093897432089
118,5,govern,0.007221972104161978
119,5,inform,0.006968304514884949
