checked_link,facebook_ids,facebook_links,id,social_medias,twitter_ids,twitter_links
https://www.politifact.com/factchecks/2020/sep/16/li-meng-yan/tucker-carlson-guest-airs-debunked-conspiracy-theo/,"1296200100715306,1296200100715306","https://www.facebook.com/politifact/,https://www.facebook.com/help/1952307158131536?helpref=related,https://www.facebook.com/TuckerCarlsonTonight/posts/1296200100715306,https://www.facebook.com/TuckerCarlsonTonight/posts/1296200100715306,https://www.facebook.com/politifact/,https://www.facebook.com/sharer/sharer.php?app_id=454308342057334&sdk=joey&u=https://www.politifact.com/factchecks/2020/sep/16/li-meng-yan/tucker-carlson-guest-airs-debunked-conspiracy-theo/&display=popup&ref=plugin&src=share_button",1,3,1305743494913245184,"https://twitter.com/Politifact/,https://twitter.com/CT_Bergstrom/status/1305743494913245184,https://twitter.com/Politifact/"
https://www.factcheck.org/2020/09/report-resurrects-baseless-claim-that-coronavirus-was-bioengineered/,,"https://www.facebook.com/factcheck.org,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.factcheck.org%2F2020%2F09%2Freport-resurrects-baseless-claim-that-coronavirus-was-bioengineered%2F%3Futm_source%3Dfacebook%26utm_medium%3Dsocial%26utm_campaign%3Dsocial-pug&t=Report%20Resurrects%20Baseless%20Claim%20that%20Coronavirus%20Was%20Bioengineered",2,1,"1306037072914866178,1306040554044551173,1306041057440743424,1306037079478919168,1306037076081614848,1306040554044551173","https://twitter.com/intent/tweet?text=Report%20Resurrects%20Baseless%20Claim%20that%20Coronavirus%20Was%20Bioengineered&url=https%3A%2F%2Fwww.factcheck.org%2F2020%2F09%2Freport-resurrects-baseless-claim-that-coronavirus-was-bioengineered%2F%3Futm_source%3Dtwitter%26utm_medium%3Dsocial%26utm_campaign%3Dsocial-pug&via=factcheckdotorg,https://twitter.com/K_G_Andersen/status/1306037072914866178?s=20,https://twitter.com/edwardcholmes/status/1306040554044551173?s=20,https://twitter.com/edwardcholmes/status/1306041057440743424?s=20,https://twitter.com/K_G_Andersen/status/1306037079478919168,https://twitter.com/K_G_Andersen/status/1306037076081614848,https://twitter.com/edwardcholmes/status/1306040554044551173?s=20"
https://www.factcheck.org/2020/10/trump-campaign-didnt-send-email-fundraising-off-covid-19-diagnosis/,,"https://www.facebook.com/factcheck.org,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.factcheck.org%2F2020%2F10%2Ftrump-campaign-didnt-send-email-fundraising-off-covid-19-diagnosis%2F%3Futm_source%3Dfacebook%26utm_medium%3Dsocial%26utm_campaign%3Dsocial-pug&t=Trump%20Campaign%20Didn%27t%20Send%20Email%20Fundraising%20Off%20COVID-19%20Diagnosis",3,1,"1311892190680014849,1312054535511306243,1311892190680014849","https://twitter.com/intent/tweet?text=Trump%20Campaign%20Didn%27t%20Send%20Email%20Fundraising%20Off%20COVID-19%20Diagnosis&url=https%3A%2F%2Fwww.factcheck.org%2F2020%2F10%2Ftrump-campaign-didnt-send-email-fundraising-off-covid-19-diagnosis%2F%3Futm_source%3Dtwitter%26utm_medium%3Dsocial%26utm_campaign%3Dsocial-pug&via=factcheckdotorg,https://twitter.com/realDonaldTrump/status/1311892190680014849,https://twitter.com/iMajorWish/status/1312054535511306243,https://twitter.com/realDonaldTrump/status/1311892190680014849"
https://www.factcheck.org/2020/09/viral-post-falsely-attributed-to-golfer-bubba-watson/,"10214972316340070,10216677979277031,3309136079152031","https://www.facebook.com/factcheck.org,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.factcheck.org%2F2020%2F09%2Fviral-post-falsely-attributed-to-golfer-bubba-watson%2F%3Futm_source%3Dfacebook%26utm_medium%3Dsocial%26utm_campaign%3Dsocial-pug&t=Viral%20Post%20Falsely%20Attributed%20to%20Golfer%20Bubba%20Watson,https://www.facebook.com/fred.childs.5/posts/10214972316340070,https://www.facebook.com/larry.henrichs.1/posts/10216677979277031,https://www.facebook.com/photo.php?fbid=3309136079152031&set=a.194933613905642&type=3&theater",4,2,,https://twitter.com/intent/tweet?text=Viral%20Post%20Falsely%20Attributed%20to%20Golfer%20Bubba%20Watson&url=https%3A%2F%2Fwww.factcheck.org%2F2020%2F09%2Fviral-post-falsely-attributed-to-golfer-bubba-watson%2F%3Futm_source%3Dtwitter%26utm_medium%3Dsocial%26utm_campaign%3Dsocial-pug&via=factcheckdotorg
https://healthfeedback.org/claimreview/assessment-of-the-evolution-of-the-number-of-covid-19-cases-is-based-on-sars-cov-2-specific-test-no-confusion-with-flu-or-common-cold-is-possible/,,"https://facebook.com/HealthFeedback/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fhealthfeedback.org%2Fclaimreview%2Fassessment-of-the-evolution-of-the-number-of-covid-19-cases-is-based-on-sars-cov-2-specific-test-no-confusion-with-flu-or-common-cold-is-possible%2F,https://facebook.com/HealthFeedback/,https://www.facebook.com/HealthFeedback/",5,0,,https://twitter.com/intent/tweet?text=The%20number%20of%20COVID-19%20cases%20reported%20is%20based%20on%20a%20highly%20specific%20diagnostic%20test%20for%20COVID-19%3B%20no%20confusion%20with%20flu%20or%20common%20cold%20is%20possible&url=https://healthfeedback.org/claimreview/assessment-of-the-evolution-of-the-number-of-covid-19-cases-is-based-on-sars-cov-2-specific-test-no-confusion-with-flu-or-common-cold-is-possible/&via=HealthFeedback
https://healthfeedback.org/claimreview/cloth-masks-are-effective-at-reducing-virus-transmission-because-it-spreads-in-respiratory-droplets-which-are-larger-than-smoke-particles-and-the-pores-in-fabric/,10158331126011026,"https://facebook.com/HealthFeedback/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fhealthfeedback.org%2Fclaimreview%2Fcloth-masks-are-effective-at-reducing-virus-transmission-because-it-spreads-in-respiratory-droplets-which-are-larger-than-smoke-particles-and-the-pores-in-fabric%2F,https://www.facebook.com/76625396025/posts/10158331126011026,https://facebook.com/HealthFeedback/,https://www.facebook.com/HealthFeedback/",6,2,,https://twitter.com/intent/tweet?text=Cloth%20masks%20are%20effective%20at%20reducing%20virus%20transmission%20because%20it%20spreads%20in%20respiratory%20droplets%2C%20which%20are%20larger%20than%20smoke%20particles%20and%20the%20pores%20in%20fabric&url=https://healthfeedback.org/claimreview/cloth-masks-are-effective-at-reducing-virus-transmission-because-it-spreads-in-respiratory-droplets-which-are-larger-than-smoke-particles-and-the-pores-in-fabric/&via=HealthFeedback
https://healthfeedback.org/claimreview/covid-19-test-kits-were-not-purchased-in-2017-and-2018-claim-is-based-on-mislabeled-data/,,"https://facebook.com/HealthFeedback/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fhealthfeedback.org%2Fclaimreview%2Fcovid-19-test-kits-were-not-purchased-in-2017-and-2018-claim-is-based-on-mislabeled-data%2F,https://facebook.com/HealthFeedback/,https://www.facebook.com/HealthFeedback/",7,0,,https://twitter.com/intent/tweet?text=COVID-19%20test%20kits%20were%20not%20purchased%20in%202017%20and%202018%3B%20claim%20is%20based%20on%20mislabeled%20data&url=https://healthfeedback.org/claimreview/covid-19-test-kits-were-not-purchased-in-2017-and-2018-claim-is-based-on-mislabeled-data/&via=HealthFeedback
https://healthfeedback.org/claimreview/mortality-in-the-u-s-was-more-than-280000-higher-during-the-first-eight-months-of-2020-than-any-of-the-previous-five-years-over-the-same-period/,,"https://facebook.com/HealthFeedback/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fhealthfeedback.org%2Fclaimreview%2Fmortality-in-the-u-s-was-more-than-280000-higher-during-the-first-eight-months-of-2020-than-any-of-the-previous-five-years-over-the-same-period%2F,https://facebook.com/HealthFeedback/,https://www.facebook.com/HealthFeedback/",8,0,,https://twitter.com/intent/tweet?text=Mortality%20in%20the%20U.S.%20was%20more%20than%20280%2C000%20higher%20during%20the%20first%20eight%20months%20of%202020%20than%20any%20of%20the%20previous%20five%20years%20over%20the%20same%20period&url=https://healthfeedback.org/claimreview/mortality-in-the-u-s-was-more-than-280000-higher-during-the-first-eight-months-of-2020-than-any-of-the-previous-five-years-over-the-same-period/&via=HealthFeedback
https://healthfeedback.org/claimreview/the-virus-causing-covid-19-most-likely-evolved-in-natural-wildlife-populations-before-spreading-to-humans/,,"https://facebook.com/HealthFeedback/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fhealthfeedback.org%2Fclaimreview%2Fthe-virus-causing-covid-19-most-likely-evolved-in-natural-wildlife-populations-before-spreading-to-humans%2F,https://facebook.com/HealthFeedback/,https://www.facebook.com/HealthFeedback/",9,0,,https://twitter.com/intent/tweet?text=The%20virus%20causing%20COVID-19%20most%20likely%20evolved%20in%20natural%20wildlife%20populations%20before%20spreading%20to%20humans&url=https://healthfeedback.org/claimreview/the-virus-causing-covid-19-most-likely-evolved-in-natural-wildlife-populations-before-spreading-to-humans/&via=HealthFeedback
https://healthfeedback.org/claimreview/covid-19-vaccines-are-not-expected-to-be-available-for-the-public-before-several-months-contrary-to-viral-claim-on-social-media/,,"https://facebook.com/HealthFeedback/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fhealthfeedback.org%2Fclaimreview%2Fcovid-19-vaccines-are-not-expected-to-be-available-for-the-public-before-several-months-contrary-to-viral-claim-on-social-media%2F,https://facebook.com/HealthFeedback/,https://www.facebook.com/HealthFeedback/",10,0,,https://twitter.com/intent/tweet?text=COVID-19%20vaccines%20are%20not%20expected%20to%20be%20available%20for%20the%20public%20within%20several%20months%2C%20contrary%20to%20viral%20claim%20on%20social%20media&url=https://healthfeedback.org/claimreview/covid-19-vaccines-are-not-expected-to-be-available-for-the-public-before-several-months-contrary-to-viral-claim-on-social-media/&via=HealthFeedback
