checked_link,countries,date,id,justify,label,poynter_link,source,title
https://factcheck.afp.com/video-south-african-bikers-falsely-shared-footage-prayer-trumps-health,UnitedStates,2020-10-06 00:00:00,1,explanation the footage was taken in south africa  not the united states  more than a month earlier  and the bikers were protesting against farm murders,FALSE,https://www.poynter.org/?ifcn_misinformation=hundreds-of-bikers-gathered-in-prayer-for-donald-trump-after-the-us-president-was-hospitalized-for-covid-19, AFP, hundreds of bikers gathered in prayer for donald trump after the us president was hospitalized for covid19
https://factcheck.afp.com/misinformation-targets-new-jersey-flu-vaccine-mandate-plan,UnitedStates,2020-10-07 00:00:00,2,explanation large studies in the us and canada found no evidence that flu shots increase the odds of contracting a coronavirus  and public health agencies recommend the inoculation to help prevent serious illness  as well as to avoid additional burdens on health care systems during the covid19 pandemic,FALSE,https://www.poynter.org/?ifcn_misinformation=receiving-a-flu-vaccine-an-the-resulting-immunization-raises-ones-risk-of-coronavirus-infection, AFP, receiving a flu vaccine an the resulting immunization raises ones risk of coronavirus infection
https://voxukraine.org/uk/bezdokazovo-tramp-pidpisav-obvinuvachennya-fauchi-v-derzhavnij-zradi/,Ukraine- UnitedStates,2020-10-02 00:00:00,3,explanation there is no official confirmation of the claim,FALSE,https://www.poynter.org/?ifcn_misinformation=trump-accused-fauci-of-treason, VoxCheck, trump accused fauci of treason
https://www.factcheck.org/2020/10/doctors-in-video-falsely-equate-covid-19-with-a-normal-flu-virus/,UnitedStates,2020-10-10 00:00:00,4,explanation covid19 if deadlier than the seasonal flu  according to the who  cdc and other experts,FALSE,https://www.poynter.org/?ifcn_misinformation=the-novel-coronavirus-that-causes-covid-19-is-a-normal-flu-virus, FactCheck.org, the novel coronavirus that causes covid19 is a normal flu virus
https://healthfeedback.org/claimreview/covid-19-vaccines-are-not-expected-to-be-available-for-the-public-before-several-months-contrary-to-viral-claim-on-social-media/,UnitedStates,2020-10-02 00:00:00,5,explanation several vaccines against covid19 are currently being developed  but they are extremely unlikely to be released within three weeks nor is it likely that they will be made compulsory for everyone even if a covid19 vaccine candidate successfully reaches phase 3 of clinical trials  it would still have to go through a long process of approval and manufacturing,FALSE,https://www.poynter.org/?ifcn_misinformation=the-u-s-government-has-released-their-initial-plans-to-force-a-vaccine-on-everyone-three-potential-vaccines-are-currently-in-stage-3-trials-in-the-u-s-and-could-be-ready-in-weeks, Science Feedback, the us government has released their initial plans to force a vaccine on everyone three potential vaccines are currently in stage 3 trials in the us and could be ready in weeks
https://healthfeedback.org/claimreview/mortality-in-the-u-s-was-more-than-280000-higher-during-the-first-eight-months-of-2020-than-any-of-the-previous-five-years-over-the-same-period/,UnitedStates,2020-10-07 00:00:00,6,explanation excess mortality is a measure of how many more deaths have occurred over a period of time as compared to the same period in previous years during the first 34 weeks of 2020  280 000 more people died than during the first 34 weeks of any of the five previous years from march to august 2020  the number of weekly deaths was consistently higher compared to the weekly deaths of any of the previous five years the 280 000 excess deaths that occurred in 2020 thus far are likely due to the covid19 pandemic,FALSE,https://www.poynter.org/?ifcn_misinformation=mortality-in-the-u-s-this-year-is-not-materially-different-from-the-previous-5-years, Science Feedback, mortality in the us this year is not materially different from the previous 5 years
https://facta.news/notizia-falsa/2020/10/06/i-simpson-non-hanno-mai-predetto-la-morte-di-donald-trump-nemmeno-a-causa-della-covid-19/,Italy- UnitedStates,2020-10-06 00:00:00,7,explanation the simposn didnt predict donald trump death,FALSE,https://www.poynter.org/?ifcn_misinformation=the-simpsons-predicted-donald-trump-died-and-was-infected-by-covid, Facta, the simpsons predicted donald trump died and was infected by covid
https://www.factcheck.org/2020/10/trump-campaign-didnt-send-email-fundraising-off-covid-19-diagnosis/,UnitedStates,2020-10-02 00:00:00,8,explanation the email was not sent by the trump campaign and was apparently intended to be a joke,FALSE,https://www.poynter.org/?ifcn_misinformation=the-trump-campaign-sent-out-fundraising-email-asking-to-help-the-presiden-after-he-was-diagnosed-with-covid-19, FactCheck.org, the trump campaign sent out fundraising email asking to help the presiden after he was diagnosed with covid19
https://healthfeedback.org/claimreview/covid-19-is-at-least-an-order-of-magnitude-more-deadly-than-seasonal-flu-according-to-current-estimates/,UnitedStates,2020-09-28 00:00:00,9,explanation the measure that best describes the lethality of an infectious disease is the infection fatality ratio ifr the ifr indicates the proportion of people who die from a disease among all the people infected  including both confirmed cases as well as undetected infections according to their respective ifr estimates  covid19 is at least ten times more deadly than an average flu season  particularly for middleaged and elderly people furthermore  the lack of effective treatments or vaccines for covid19  along with potential longterm damage to survivors  make covid19 a serious health threat,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-is-less-deadly-than-seasonal-flu, Science Feedback, covid19 is less deadly than seasonal flu
http://www.mythdetector.ge/en/node/3452,Georgia- UnitedStates,2020-09-30 00:00:00,10,explanation the photo of the man that the publication attached to the article shows not bernard russell  but 67yearold eugene fulk  who went missing for 10 days in canada an article from september 24  in the media of the similar name is available on newsheraldcom  where it was mentioned that in alaska a 22yearold man from ohio was killed by a grizzly bear while hunting coronavirus is not mentioned in the article,FALSE,https://www.poynter.org/?ifcn_misinformation=a-man-bitten-by-a-bear-in-alaska-had-covid-19-listed-as-his-cause-of-death, Myth Detector, a man bitten by a bear in alaska had covid19 listed as his cause of death
