has_words,id,link
"facebook,twitter",0,https://piaui.folha.uol.com.br/lupa/2021/02/05/verificamos-rn-estragar-vacina/
"facebook,twitter",0,https://politica.estadao.com.br/blogs/estadao-verifica/facebook-restaurou-post-sobre-hidroxicloroquina-mas-mantem-politica-de-remocao-de-desinformacao-sobre-a-covid-19/
"facebook,twitter",0,https://teyit.org/analiz-italyada-bir-doktorun-yogun-bakimda-yer-acmak-icin-hastalari-oldurdugu-iddiasi
"facebook,twitter,compartilhado",0,https://piaui.folha.uol.com.br/lupa/2021/02/05/verificamos-variante-coronavirus-manaus/
"facebook,tweet,social media",0,https://www.politifact.com/factchecks/2021/feb/11/blog-posting/doctors-administering-covid-19-vaccines-arent-guil/
"twitter,compartilhado",0,https://politica.estadao.com.br/blogs/estadao-verifica/e-falso-que-vacinas-contra-a-covid-19-utilizem-tecnologia-nunca-antes-testada-em-humanos/
,0,https://maldita.es/malditobulo/20210205/policia-descubierto-11-personas-positivas-covid-19-lidl-gijon/
,0,https://maldita.es/malditobulo/20210208/institutos-nacionales-salud-estados-unidos-no-dicen-mascarilla-provoque-muertes-neumonia-bacteriana/
,0,https://maldita.es/malditaciencia/20210208/vacuna-coronavirus-no-cumple-definicion-cambiar-adn-enferma-80-personas/
"facebook,twitter,compartilhado",0,https://piaui.folha.uol.com.br/lupa/2021/02/05/verificamos-vacinas-morte-estados-unidos/
"facebook,twitter,compartilhado",0,https://piaui.folha.uol.com.br/lupa/2021/02/08/verificamos-usp-estudo-coronavirus/
"facebook,twitter",0,https://piaui.folha.uol.com.br/lupa/2021/02/08/verificamos-amazonas-covid-pazuello/
social media,0,https://healthfeedback.org/claimreview/article-claiming-that-masks-contribute-to-cancer-development-misrepresents-a-study-about-lung-cancer-which-didnt-involve-masks-at-all/
,0,https://colombiacheck.com/chequeos/audio-del-homeopata-ruben-carvajal-es-una-mezcla-de-ideas-falsas-sobre-el-covid-19
