facebook, twitter
,_1357446340452745219
10215751847388571,
100005465506346,
,_1354088643749687299
240773207613453,
2823140177975733,
2823140177975733,
2823140177975733,
10223992696866817,
173261737918479,
10158883864172192,
,_1350268191512031233
,_1353354452590321665
,_1355994428226351105
,_1355994428226351105
10226012135150376,
10159074996533054,
216037580004461,
,_1352344107608371203
403541337597874,
406552420630099,
,_1341596136394600448
823051141535282,
,_1352748139665645569
3675720049182057,
1695033197343475,
,_1345996896746176517
,_1346081488182288384
,_1348730601780764672
,_1348868058253705216
,_1248045021577629696
1708636729298405,
,_1343290299636965384
100025604376271,
1510968955872507,
1274709256209323,
3882842775132992,
,_1342543757418217474
,_1340522931257020416
,_1340062795266715653
409090220433970,
3590795927679439,
1579898512199712,
10218697196646635,
10224888026409064,
,_1344685674516115459
10157347002687245,
10164579876430646,
1126220747818156,
1020877705088777,
111851517461700,
,_1344554348832051203
,_1341024663401467905
,_1341044853774426122
100010741033582,
,_1311756906726383616
3755301394533632,
10226012135150376,
1711344185737967,
,_1340914383744974848
,_1337500794510319617
10225152082979459,
217059319879661,
,_1345509793247744000
426784255434496,
908911085828111,
,_1339862804812034048
2890874064322975,
3477184629064746,
,_1340817084532609028
,_1340816899664273408
,_1340769379068329985
,_1341537886315950080
,_1326841630830206976
,_1340631443874181123
,_1340321317577482240
,_1340781169772818436
,_1337104992864403457
,_1336873007151603714
,_1337085745597542402
,_1337260251951722497
213738400221932,
3755220107870132,
451865802499400,
3786954851417790,
,_1332974887049302017
,_1337288299572940802
,_1339387391933636611
105988498047230,
10223891553340038,
10219579227458892,
3845644035469890,
1942366522573044,
,_1280757940782129152
,_1337137933988589568
100053232412357,
2929355677292601,
10157700695912611,
702910410425017,
2326445064167663,
3645084895527781,
,_1335118786819571712
10220132325683771,
108122557703174,
828922607892667,
2820307594923695,
1676146615885087,
1049068488850846,
1557819957715356,
755711621686171,
293556248724348,
735044354059176,
414744369700822,
2768796673342965,
,_1339266283536314370
1545190625678747,
3596393293787364,
,_1328763436948365313
,_1334272172609712129
,_1334511820971839494
388965485864819,
247695300248695,
100004702214908,
108971177608031,
10221028734541574,
3543248015733916,
681142149205980,
216001403243876,
835864430289643,
100615111449016,
3591879880833622,
2930933283794196,
,_1329790448056098817
,_1330101421144944640
,_1329899062666125312
,_1
1255713594804367,
,_1330564294312931328
,_1329095927525748737
,_1270382117545893888
3585884628129223,
925207824553658,
,_1326489739927678977
,_1325794339335921667
1858114104423366,
10216982656459199,
10225456397625512,
,_1320333151495860224
10157774607724537,
3312486388771124,
3585884628129223,
188302676188778,
1567194153456130,
,_1323291977199296513
100004702214908,
100000473693625,
169199284931340,
,_1333231972332625921
1484504778406896,
161064949034036,
204982191220233,
,_1320732410842091521
1776701695992427,
100004702214908,
10217584166983908,
10157657908731313,
,_1317120563836379137
,_1316748361169465344
3985857441444323,
10157000373932131,
10157769195472879,
10158301928052949,
4183760848307751,
4054574401224351,
3493471240712271,
3584165738342268,
,_1318701159293485057
1642822602585988,
10213687701225312,
,_1309453336526155777
10213681363786880,
10217761172889052,
100004702214908,
891572118277513,
,_1349825804952342530
,_1310457233394806784
10224115197886612,
10224566274413618,
1135241890164956,
10158549797817591,
10164343626490092,
,_1313171044023308290
2049215701875290,
3373275222726377,
,_1309336123563536384
,_1311981737170423810
10217700144403378,
10223571524775639,
,_1312462936498032641
965419820637491,
10224806418648033,
1560450427468268,
4874917739214980,
5107877285904280,
2822752264606344,
100000343948818,
2330807010397751,
3513574865348318,
3860200297342753,
203574124464511,
,_1311582255505121280
,_1305035352336461825
528348853843013,
,_1272523570766327808
2868776279893816,
100007292896713,
100007292896713,
748495099217384,
10219236599559767,
,_1309567611848421376
10164094315645297,
3431601873536325,
10223012042272152,
10225286053167103,
660102321576107,
3407696659323696,
191806558999964,
3397816270311735,
198133581727115,
10207430673083227,
10157392774220671,
970154780061487,
100004702214908,
,_1296543331057635332
,_1306477688383852544
1219338005101362,
3605728119511127,
10158567100347528,
,_1301992416501792769
,_1301773029689655296
4823227497702937,
4263061493736321,
1183728255330331,
,_1234269322387709953
,_1306631233288503297
,_1305875248093384705
10157711748506045,
10157613693132865,
10215705747300084,
690516031541538,
,_1299946852544999424
690516031541538,
,_1300192787493781504
2646336145468696,
,_1294756636716802049
,_1283852203632005120
,_1285209531409035265
3478992572165668,
,_1302245348518305792
185847352910014,
1173872972982526,
3096991130349915,
3750549764973830,
157034135938489,
118488033297779,
186726742822075,
,_1302965432618491904
1185123131887173,
1840356159440779,
,_1296596203149447170
,_1255320482846593025
,_1271321777235300353
,_1300024926783418368
1213186302354716,
10224050038749877,
3470994776254431,
492892561382571,
10223760408748397,
10207410935787309,
3537543316310788,
314421036316475,
172209751137434,
,_1299808221918646272
852611835146404,
3450999174933118,
3808665599147702,
100052111834633,
,_1295876459337330688
2740176896230438,
110988070535083,
100017164360009,
2705836056363565,
607722083446531,
10223554310350692,
1711078762377685,
10223449414404125,
100179604899466,
2633968470178546,
2417559838542248,
695333622,
,_1295657864477003777
,_1295707177445974017
,_1295737375822352385
,_1295753609225949185
,_1295745431834632201
,_1293694810407264257
1696932693797930,
3475246089154413,
3034461886682706,
,_1293135525440663552
,_1293135525440663552
1152139051830004,
,_1293395178187829250
,_1286225043287023616
1583660018461918,
,_1292446286289960960
100009289610122,
102274544901459,
,_1292519335118942208
1588306701330247,
10158330172015822,
112932480267065,
3180441315376685,
2786479401605689,
676653993193556,
,_1282978842571874304
,_1284483527736791040
300442714341355,
743602019784728,
3171287002935915,
122249771129841,
3020769681370390,
,_1280233479729565696
,_1257019266655760384
10220770945135088,
10158844701235774,
103961259262,
3184225531632507,
,_1283412255665725440
,_1283362692615606273
2696414514017445,
10207626191170868,
110036637090470,
2632815836933605,
,_1282344581455998976
1749883428468829,
1065319777195654,
10217083520016713,
2569459493155557,
239647527460407,
2991978967516642,
2543610429073560,
10216515952787953,
10159381186545559,
3385188268186534,
1613738282107517,
10221885140176050,
10159649743949408,
10159892346909408,
,_1241537381200801795
3072098959540059,
2569459493155557,
176872480522824,
,_1250543585205813250
546855716201128,
,_1264819850326667264
,_1245732348056002561
,_1255869276189265921
3044840448888084,
1329159473920125,
2941282869296115,
10158485524588832,
,_1253582428670656512
3059412907469691,
2956933381008788,
10220762781673017,
4453905284634993,
10223353145316626,
10219949911072951,
2915248948559676,
2825337827553330,
,_1259327775711903744
2955794551183018,
3077834322297851,
730436084002052,
,_1260614975095279621
,_1241343233365434368
,_1241025092441628672
100007723179871,
2698930667056589,
10159641900051679,
2698930667056589,
239768040676796,
,_1245190455047811076
599996460873795,
,_1257214300822929409
2100094023469641,
239768040676796,
3304759429547933,
3173495636034942,
10159791698564968,
2627159667571788,
,_1254684072250613761
10207703946674021,
100003518756896,
1858213777729917,
3421863261160492,
,_1253760972436705282
,_1246320711792242688
1122375514792290,
,_1246000404678053889
740368816683850,
100012187786839,
,_1254253304026206209
,_1252013719049158656
,_1252349566046728196
10222992302302961,
1299500320256201,
,_1254435626079813632
3130164763700538,
,_1242149313507098624
2580524808865083,
,_1252634824935976960
568872770423467,
244181589968299,
10158450897728057,
234907517601175,
1335399446849701,
10222709391428475,
,_1234601810305769479
3553903381291875,
524614311756378,
222153172537559,
1999657370253342,
523006521708371,
100026325705904,
3431229243558000,
,_1252168298109730816
10157725913172839,
102781534744590,
10222206013168084,
222307542318975,
,_1251842756579917825
263787924655831,
2544522515654318,
