id,facebook_links/0,facebook_links/1,facebook_links/2,facebook_links/3,facebook_links/4,facebook_links/5,twitter_links/0,twitter_links/1,twitter_links/2,checked_link,social_medias,twitter_links/3,twitter_links/4,twitter_ids/0,facebook_ids/0,facebook_ids/1,twitter_ids/1,facebook_ids/2,facebook_ids/3,twitter_ids/2,twitter_links/5,twitter_ids/3,facebook_links/6,facebook_links/7,facebook_ids/4,facebook_links/8,facebook_links/9,facebook_links/10,facebook_ids/5,facebook_ids/6,facebook_ids/7,facebook_ids/8,twitter_ids/4,twitter_links/6,twitter_links/7,twitter_ids/5,twitter_ids/6,twitter_links/8,twitter_links/9,facebook_links/11,twitter_links/10,twitter_links/11,twitter_links/12,twitter_links/13,twitter_links/14,twitter_links/15,twitter_links/16,twitter_links/17,twitter_links/18,twitter_links/19,twitter_links/20,twitter_links/21,twitter_links/22,twitter_links/23,twitter_links/24,twitter_links/25,twitter_links/26,twitter_links/27,twitter_ids/7,twitter_ids/8,twitter_ids/9,twitter_ids/10,twitter_ids/11,twitter_ids/12,twitter_ids/13,twitter_ids/14,twitter_ids/15,twitter_ids/16,twitter_ids/17,twitter_ids/18,twitter_ids/19,twitter_ids/20,facebook_links/12,facebook_links/13,facebook_links/14,facebook_links/15,facebook_links/16,facebook_links/17,facebook_ids/9,facebook_ids/10,facebook_ids/11,facebook_ids/12,facebook_ids/13,facebook_ids/14,facebook_links/18,facebook_links/19,facebook_links/20,facebook_ids/15,facebook_ids/16,facebook_links/21,facebook_links/22,facebook_links/23,facebook_links/24,facebook_links/25,facebook_links/26,facebook_links/27,facebook_links/28,facebook_links/29,facebook_links/30,facebook_links/31,facebook_links/32,facebook_links/33,facebook_links/34,facebook_links/35,facebook_links/36,facebook_links/37,facebook_links/38,facebook_links/39,twitter_links/28,twitter_links/29,twitter_links/30,twitter_links/31,twitter_links/32,twitter_links/33,twitter_links/34,twitter_links/35,twitter_links/36,twitter_links/37,twitter_links/38,twitter_links/39,twitter_links/40,twitter_links/41,twitter_links/42,twitter_links/43,twitter_links/44,twitter_links/45,twitter_links/46,twitter_links/47,twitter_links/48,twitter_links/49,twitter_links/50,twitter_links/51,twitter_links/52,twitter_links/53,twitter_links/54,twitter_links/55,twitter_links/56,twitter_links/57,twitter_links/58,twitter_links/59,twitter_links/60,twitter_links/61,twitter_links/62,twitter_links/63,twitter_links/64,twitter_links/65,facebook_links/40,facebook_links/41,facebook_links/42,facebook_links/43,facebook_links/44,facebook_links/45,facebook_links/46,facebook_links/47,facebook_links/48,facebook_links/49,facebook_links/50
6003,,,,,,,,,,https://www.francetvinfo.fr/sante/maladie/coronavirus/coronavirus-le-covid-19-a-t-il-ete-fabrique-dans-un-laboratoire_3921449.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,https://www.facebook.com/Liberation/,,,,,,https://twitter.com/i24NEWS_FR/status/1250695334881382401,,,https://www.liberation.fr/checknews/2020/04/17/covid-19-le-virus-provient-il-d-un-laboratoire-chinois_1785550/,1,,,_1250695334881382401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,https://www.facebook.com/politifact/,https://www.facebook.com/photo.php?fbid=10219049726608744&set=a.1553629755330&type=3&theater,https://www.facebook.com/help/1952307158131536?helpref=related,https://www.facebook.com/photo.php?fbid=10219049726608744&set=a.1553629755330&type=3&theater,https://www.facebook.com/politifact/,https://www.facebook.com/sharer/sharer.php?app_id=454308342057334&sdk=joey&u=https://www.politifact.com/factchecks/2020/apr/24/facebook-posts/trump-pence-swastika-protest/&display=popup&ref=plugin&src=share_button,https://twitter.com/Politifact/,https://twitter.com/notaxiwarrior/status/1234621752166117376,https://twitter.com/notaxiwarrior/status/1234688129623191553,https://www.politifact.com/factchecks/2020/apr/24/facebook-posts/trump-pence-swastika-protest/,3,https://twitter.com/notaxiwarrior/status/1234621752166117376,https://twitter.com/notaxiwarrior/status/1234688129623191553,_1234621752166117376,10219049726608744,10219049726608744,_1234688129623191553,,,_1234621752166117376,https://twitter.com/Politifact/,_1234688129623191553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6006,https://www.facebook.com/groups/477071349613907/permalink/548674505786924/,https://www.facebook.com/anne.devlin.180/posts/2570540609865194?__cft__[0]=AZVwoBT1rP5ZJygN4dhMXndktuH1v_307Kt_scH13t5VZvjhdXtp7K-j6mufFqAufW85OTr9XNG5xRiyhtCeJieopwoHqIbSau-xfG9psq47pl1_QIgJbiyTiEMgkZ2z8jw&__tn__=%2CO%2CP-R,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Ffullfact.org%2Fonline%2F50-thousand-ventilators%2F,https://facebook.com/fullfact.org,,https://twitter.com/demindblower/status/1245678867655864327,https://twitter.com/TomTugendhat/status/1252679936768344070,https://twitter.com/intent/tweet?text=No%2C%20the%20UK%20didn%E2%80%99t%20turn%20down%2050%2C000%20ventilators%20offered%20by%20the%20EU&url=https%3A%2F%2Ffullfact.org%2Fonline%2F50-thousand-ventilators%2F&via=FullFact,https://fullfact.org/online/50-thousand-ventilators/,3,,,_1245678867655864327,AZVwoBT1rP5ZJygN4dhMXndktuH1v_307Kt_scH13t5VZvjhdXtp7K-j6mufFqAufW85OTr9XNG5xRiyhtCeJieopwoHqIbSau-xfG9psq47pl1_QIgJbiyTiEMgkZ2z8jw,,_1252679936768344070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007,https://facebook.com/sharer/sharer.php?u=https://www.open.online/2020/04/17/il-nuovo-coronavirus-e-stato-creato-in-laboratorio-per-trovare-un-vaccino-contro-lhiv-lo-dice-montagnier-ma-non-e-cosi/,https://www.facebook.com/legasalvinipremier/posts/3140023592707212,https://www.facebook.com/enrico.bucci.75/posts/10218133909794114,https://facebook.com/sharer/sharer.php?u=https://www.open.online/2020/04/17/il-nuovo-coronavirus-e-stato-creato-in-laboratorio-per-trovare-un-vaccino-contro-lhiv-lo-dice-montagnier-ma-non-e-cosi/,https://www.facebook.com/giovanni.pili,https://www.facebook.com/Opengiornaleonline/,https://twitter.com/intent/tweet/?text=&url=https://open.online?p=286513,https://twitter.com/intent/tweet/?text=&url=https://open.online?p=286513,,https://www.open.online/2020/04/17/il-nuovo-coronavirus-e-stato-creato-in-laboratorio-per-trovare-un-vaccino-contro-lhiv-lo-dice-montagnier-ma-non-e-cosi/,2,,,,3140023592707212,10218133909794114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,https://fr-fr.facebook.com/franceinfo/,,,,,,,,,https://www.francetvinfo.fr/sante/maladie/coronavirus/une-etude-a-t-elle-prouve-que-le-coronavirus-etait-une-creation-humaine-comme-laffirme-un-francais-prix-nobel-de-medecine_3921201.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6009,https://www.facebook.com/help/572838089565953?helpref=faq_content,https://web.facebook.com/PesaCheck/,,,,,,,,https://pesacheck.org/false-no-report-in-nigeria-that-21-people-died-in-lagos-after-getting-a-covid-19-vaccine-825c2d5558c5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6010,https://www.facebook.com/dialog/feed?app_id=116141121768215&display=popup&link=https%3A%2F%2Fwww.thejournal.ie%2Fkeelings-photo-bulgaria-5077428-Apr2020%2F&picture=https%3A%2F%2Fc1.thejournal.ie%2Fmedia%2F2020%2F04%2Fpastedimage-15957-197x197.png&name=Debunked%3A+No%2C+this+is+not+a+picture+of+Bulgarian+workers+outside+a+supermarket+in+Dublin+this+week+&description=The+photo+has+been+widely+shared+on+social+media+and+messaging+services.+&message=&redirect_uri=https%3A%2F%2Fthejournal.ie%2Futils%2Ffb_post.php%3Fp_id%3D5077428 ,https://www.facebook.com/dialog/feed?app_id=116141121768215&display=popup&link=https%3A%2F%2Fwww.thejournal.ie%2Fkeelings-photo-bulgaria-5077428-Apr2020%2F&picture=https%3A%2F%2Fc1.thejournal.ie%2Fmedia%2F2020%2F04%2Fpastedimage-15957-197x197.png&name=Debunked%3A+No%2C+this+is+not+a+picture+of+Bulgarian+workers+outside+a+supermarket+in+Dublin+this+week+&description=The+photo+has+been+widely+shared+on+social+media+and+messaging+services.+&message=&redirect_uri=https%3A%2F%2Fthejournal.ie%2Futils%2Ffb_post.php%3Fp_id%3D5077428,https://www.facebook.com/thejournal.ie,,,,https://twitter.com/ClareDalyMEP/status/1251173211611504643?ref_src=twsrc%5Etfw,,,https://www.thejournal.ie/keelings-photo-bulgaria-5077428-Apr2020/,1,,,_1251173211611504643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6011,https://www.facebook.com/vishalpanchjanya/videos/2699026236992766/UzpfSTEwMDAyOTc3MjE2NDY5MTo1NjEzOTI1MTQ3ODI3MTI/,https://www.facebook.com/BOOMFactCheck/,,,,,,,,https://www.boomlive.in/fake-news/video-showing-aid-denied-to-hindus-in-bangladesh-shared-as-india-7718,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6012,https://www.facebook.com/sharer/sharer.php?u=https://www.aap.com.au/hand-sanitiser-pets-and-patting-post-gets-ingredients-mixed-up/&title=Hand%20sanitiser%2C%20pets%20and%20patting%20post%20gets%20ingredients%20mixed%20up,,,,,,,,,https://www.aap.com.au/hand-sanitiser-pets-and-patting-post-gets-ingredients-mixed-up/,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
