id,author,date,content,comments,shares,reactions/all,reactions/likes,reactions/love,reactions/wow,reactions/haha,reactions/sad,reactions/angry,reactions/care,is_valid,fact_checked
3521175668011004,Prefeitura de Paraty,January 21 at 10:34 PM,A Prefeitura de Paraty alerta que o nome do município está sendo criminosamente utilizado em uma notícia falsa que relata supostas reações negativas à vacina contra a Covid-19. Como já esclareceu a equipe de epidemiologia da Secretaria de Saúde  a aplicação da Coronavac não oferece nenhum risco à pessoa imunizada e a vacina tem eficiência superior a 90% para prevenir casos graves. A Prefeitura de Paraty reafirma seu compromisso com a vacina  reiterando que estão reservados recursos para imunizar toda população assim que houver doses disponíveis para a compra por parte dos municípios. A Prefeitura condena de forma veemente aqueles que utilizam notícias falsas para espalhar mentiras pelas redes sociais e desacreditar a vacina  colocando em risco a vida de toda a população. Pedimos  por favor  que não repliquem ou distribuam este conteúdo falso. O Canal RÔMULO MARASCHIN  do Telegram  retirou essa publicação.,177,315, 279,200,2,8,1,27,39,2,true,false
2003242103158099,Jair Messias Bolsonaro,July 7  2020 at 5:30 PM,"- Eu tomei a Hidroxicloroquina e estou me sentindo muito bem.
- Uma boa tarde a todos.",107000,149665,577000,4530000,810000,747,160000,347,31000,210000,true,false
4074390115908604,בני בן- מובחר - Beni Ben Muvchar,December 23  2020 at 8:44 AM,"  To all those concerned  I got a vaccine against coronavirus yesterday. I answered the request of Clalit khllyt to say a good word and went viral :)
The full movie is before you",515,1668, 569,356,28,14,143,6,14,8,true,false
3595883120460704,Angélica,January 14 at 12:23 AM,"Da série “ eu quero a vacina” 🌟
Foto 1: olhar de esperança
Foto 2 : ouvindo dizer que tá chegando a hora
Foto 3: já temos a vacina
Foto 4 : ouvindo alguém dizer que não vai tomar
Foto 5: plena imaginando o grande dia.",44000,629,63000,540000,78000,85,719,12,77,117,true,false
3699732283420993,Porto Feliz Tênis Clube,November 20  2020 at 9:55 AM,"*** Evento CANCELADO***
Por conta do momento em que estamos passando devido ao Coronavírus (COVID-19)  comunicamos a todos sobre o CANCELAMENTO do evento que aconteceria nesse próximo sábado  21/11/2020. Agradecemos e contamos com a compreensão de todos.",20,4, 45,29,8,0,6,2,0,0,true,false
2585399605016954,Melinda Gates,April 18  2019 at 8:24 PM,All three of my children are fully vaccinated. Vaccines work. And when fewer people decide to get them  we all become more vulnerable to disease. As World Immunization Week approaches  let’s listen to science  have honest conversations with each other  and act to protect our children.,3000,879,4400,37000,422,12,102,130,74,5,true,false
1639582172916510,Orlando Morando,November 13  2020 at 10:36 AM,"CUIDADO COM AS FAKE NEWS! Infelizmente  véspera de eleição é sempre esse jogo sujo. Nossos adversários estão desesperados e começaram a mentir pra tentar enganar o povo. Tem um vídeo de março circulando por aí  pra fazer parecer que o comércio da cidade vai voltar a fechar. Isso é MENTIRA! Já estamos na Fase Verde  os comércios estão funcionando e assim vai continuar. Nossa população colaborou muito no combate à pandemia e agora o meu foco é desenvolver cada vez mais a nossa Economia  gerando novas oportunidades  emprego e renda para todos. Não caia em fake news!
Um abraço  Orlando Morando
#Orlando45 #45DeNovo #45PraContinuarAvançando #orlandoprefeito #marcelovice #coligacaoforçaecompetenciapracuidardanossagente",728,470,1800,17000,48,4,11,2,8,7,true,false
3022387724473257,World Health Organization (WHO),March 29  2020 at 7:06 PM,FACT: Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease or any other lung disease.,21000,14027,40000,390000,680,103,180,87,30,0,true,false
3010669808986590,Dilma Rousseff,May 11  2020 at 10:07 AM,"NÃO HÁ UMA GUERRA NO BRASIL  HÁ UM MASSACRE Fernando Brito  no Tijolaço Ressalve-se os que estão arriscando  nos hospitais e unidades de saúde  os que estão arriscando – e muito mais do que deveriam estar – suas vidas na batalha desigual contra o vírus.
Feito isso  diga-se que não há uma guerra à pandemia no Brasil  há o massacre de um população tornada indefesa por seus líderes  porque guerra pressupõe que haja luta.
E o que há é uma cínica rendição.
É impossível calcular quantas dezenas de milhares morrerão – já se foram os primeiros 10 mil – mas é obrigatório dizer que serão muitos  demais  imensamente mais do que precisariam ser  se os governantes tivessem cumprido seu dever.
A pressão de Jair Bolsonaro e de vagabundos insensíveis que formam parte do grande empresariado nacional impede  por toda a parte  que se tomem as medidas duras  mas inevitáveis  de quarentena que ainda nos dariam alguma chance de deter o avanço da doença sem que nossas defesas médicas entrem  como estão entrando  em colapso total.
O fechamento total das áreas avassaladas pelo contágio  medida que é praticamente a recomendação unânime dos epidemiologistas  é evitado com medidas cínicas: faz-se um rodízio de veículos -- os que têm carro de placa par contaminam-se em dias pares  os de ímpares  no dias ímpares – fecham-se os centros e deixam as periferias – onde os contágios sobem mais rápido – entregues à própria sorte e permitem-se atividades “essenciais” como os páreos de corridas de cavalos que serão disputados hoje [ontem] à tarde no Jockey Club da Gávea.
Acima de todos  o grande Satã presidencial comanda uma legião de monstros que  fingindo preocupação com a carne que queima por dinheiro  prestam-se à hipócrita cantilena de dizer que “a economia é tão importante quanto a saúde”  quando todos permanecem isolados  dando ordens pelo computador e com seus médicos e hospitais ao alcance de um telefonema e um deslocamento de carro com motorista.
Os militares brasileiros -- contra a vontade de muitos dos seus oficiais da ativa – viraram cúmplices destes colaboracionistas da morte. Como em 1964  fazem do poder uma ferramenta para que os homens do dinheiro engordem em meio a um povo que morre.",1000,323,2700,20000,24,9,120,477,24,22,true,false
3191886950844554,Abrath - Associação Terapeutas.,May 6  2020 at 1:34 PM,"VIBRAÇÃO ALTA! Imuniza o covid-19?
NÃO  ISSO É FAKE NEWS. Estão compartilhando milhares de mensagens falando que padrões vibratórios altos  imunizam todos os tipos de doença e o covid-19  isso é uma informação INCORRETA  ou melhor  INCOMPLETA. Uma mentira de tratamento foi compartilhada milhares de vezes  e alguem esta ganhando dinheiro enganando pessoas  ajude a combater os falsos terapeutas  compartilhe este também. Denuncie para juridico@abrath.org.br Existem diversos estudos e relatos  e a própria medicina holística em todos os seus aspectos concorda com isso  que padrões vibratórios altos nos protegem  e isso é verdade  só que em nosso planeta  é impossível manter determinados padrões vibratórios altos o tempo todo  principalmente para pessoas que tem família  trabalho  religião  ou seja  tem uma vida terrestre. Não há como manter tal padrão vibratório continuo 24 horas por dia. Vivemos de momentos  que podem ser altos ou baixos. O trabalho de um terapeuta é te conduzir ao aumento de seu campo vibracional  através das mudanças em sua vida  de suas escolhas.
Entenda que deves manter uma vibração alta  porque queres ser uma pessoa melhor e com saúde  não porque estas com medo da morte ou de um vírus  além do que  para manter uma vibração alta  depende exclusivamente de você e de técnicas aplicáveis em seu dia a dia e de aspectos comportamentais em sua alimentação e na sua higiene física  emocional e mental  tudo assessorado por um terapeuta.
Quando for se consultar com algum terapeuta  tome alguns cuidados  verifique se tem registro profissional  verifique na entidade se de fato a entidade existe e se o terapeuta é de fato registrado  veja se tem telefones e mídias sociais confiáveis para contato  se for pagar  use pagamentos com seguro  como pagseguro  paypal  mercado pago  procure entrar em grupos e verificar com clientes se foram bem atendidos.
Se um terapeuta ou qualquer pessoa falar que imuniza  trata  ou impede o vírus do covid-19  procure a Abrath e denuncie  temos um departamento jurídico que age contra terapeutas filiados ou não filiados extra e juridicamente.
A Abrath protege os seus terapeutas filiados e os clientes também  por isso  tratar-se com um terapeuta filiado a Abrath é caminho para credibilidade.
Completamos 13 anos de experiência e mais de 6 mil terapeutas filiados.
Nosso trabalho não é pela regulamentação da profissão  mas sim pela capacitação dos terapeutas perante a sociedade e órgãos de fiscalização através da auto-regulamentação  que é fundamental para uma futura regulamentação  ainda muito longe de ser alcançada. Quer saber se um terapeuta possui o registro profissional CRTH-BR da Abrath:
https://www.abrath.org.br/localizar-filiados.php Quer fazer um anuncio de graça e ser localizado pelos seus futuros clientes:
https://painel.brasilterapias.com.br/cadastro/ Quer ter seu próprio prontuário holístico e emitir contrato  recibo  atestado ...
https://prontuario.abrath.com.br/ Quer se filiar a Abrath? www.abrath.org.br",1,24, 32,23,7,0,0,0,1,1,true,false
3176629509123947,,,,0,0,0,0,0,0,0,0,0,0,false,false
2871694432960141,SBI - Sociedade Brasileira de Infectologia,June 30  2020 at 3:11 PM,IMPORTANTE || A avaliação do uso de qualquer medicamento fora de sua indicação aprovada deve ser uma decisão individual do médico  compartilhando os possíveis benefícios e riscos com o paciente. Porém é vedada a publicidade sobre tal conduta. Por conta de publicações recentes em redes sociais  a SBI emite comunicado de número 15 sobre a pandemia de COVID-19  sobre o uso de medicamentos. Para ler  acesse o link. | https://bit.ly/3g5p6sO,26,251, 196,187,8,0,1,0,0,0,true,false
2621778074758107,Dr. Denis Mukwege,March 25  2020 at 10:15 AM,Please watch my call by for citizen vigilance and collective mobilization in the face of the Coronavirus pandemic. Veuillez suivre mon appel à la vigilance citoyenne et à la mobilisation collective face à la pandémie de Coronavirus. https://www.youtube.com/watch?v=GVPLU6Usofg&feature=youtu.be,28,92, 436,383,48,2,1,0,0,2,true,false
2632318857037362,Dr. Denis Mukwege,April 6  2020 at 12:42 PM,"""Ces temps désespérés exigent un leadership audacieux et déterminé. Le défi commun que représente le coronavirus nous rappelle  comme jamais auparavant  à quel point nous dépendons les uns des autres. Nous traversons une crise sanitaire sans précédent. Si elle peut tous nous affecter  elle expose les plus vulnérables à de nombreux risques supplémentaires. En raison des inégalités de genre  si profondément ancrées  les filles et les femmes vont vivre cette pandémie de façon différente. Nous  membres des Conseils consultatifs à l’égalité de genre du G7 2018 et 2019  appelons immédiatement les Etats membres à une action urgente et conjointe visant à accompagner les filles et les femmes de façon à empêcher la dégradation de l’égalité et le recul de leurs droits dans le monde."" https://www.liberation.fr/debats/2020/04/04/la-question-du-genre-au-coeur-de-la-crise-sanitaire_1784071 ""Desperate times require bold and determined leadership. The COVID-19 virus represents a common challenge to the whole world and  like never before  reminds us of our interdependence. We are experiencing an unprecedented health crisis that can now affect anyone and exposes the most vulnerable to additional risks. Because of deep-rooted gender inequality  girls and women worldwide will also experience the COVID-19 pandemic differently. We  members of the 2018 and 2019 G7 Gender Equality Advisory Councils 
urgently call on G7 member states for joint emergency action to respond to the particular challenges facing women and to prevent the deterioration of gender equality and women’s rights worldwide.""",14,49, 374,327,46,1,0,0,0,0,true,false
2637248573211057,Dr. Denis Mukwege,April 12  2020 at 9:36 AM,  URGENT: News Release from Dr. Mukwege on South Kivu's Coronavirus Strategy. https://www.youtube.com/watch?v=m8dePcZbrO8&feature=youtu.be&fbclid=IwAR1w0L_1N-OfUOlAoHANYASo80stFLz-2poE9D7O3feVCjl59GSwsF-o5sg,19,44, 287,260,25,1,0,0,1,0,true,false
251099672649400,Fernando Suassuna Alergologista,June 3  2020 at 11:25 AM,Bom dia! Ligue e agende a sua consulta.,0,0,4,4,0,0,0,0,0,0,true,false
