id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
_1233738443756384259,_2409592178,Discussions emphasising 'COVID19 is more serious than flu' will probably become moot in the coming days and weeks … https://t.co/tAL1cl1OHA,2020-02-29 12:59:01,None,,None,University of Oxford,642,359,18158,en
_1322543347236438016,_939091,Be a patriot. Wear a mask. https://t.co/o2v9xP24A9,2020-10-31 14:18:00,None,,None,Wilmington  DE,91956,11769,28403993,en
_1332382920250515456,_712012171031420928,1/ This paper is the first significant evidence that recent infection with a common cold coronavirus could have a f… https://t.co/yfaysNyhq0,2020-11-27 17:56:57,None,,None,La Jolla  San Diego,415,149,25284,en
_1315593013184221184,_1352962327,Slightly updated to version 1.3 https://t.co/r5o8zv6fZr,2020-10-12 09:59:51,None,,None,Brisbane  Australia,4064,1966,115080,en
_1319901144836026368,_1352962327,A new version with colour &amp; division inspiration from @uq_news and strict mouse design oversight by @kat_arden (ver… https://t.co/9SiGiUJMT7,2020-10-24 07:18:50,None,,None,Brisbane  Australia,7070,3747,115080,en
_1340792217443708928,_36600409,The whole thing is weird. 1. The SearchQuarry site says they have a death certificate ready on #TiffanyDover  Then… https://t.co/IkfuPyqVio,2020-12-20 22:52:30,None,,None,Dubai,9,2,67,en
_1312869001614315520,_15675138,President Trump drives by supporters outside Walter Reed Medical Center. https://t.co/V5UchepTRs,2020-10-04 21:35:36,None,,None,Washington  D.C.,4473,1094,2112944,en
_1320492597320863751,_39416218,"So what happened in COVID era?

Cares Act gives hospitals a 20% bump (to about $9600 – 13K) if pneumonia is from CO… https://t.co/3Gfg7LRGSZ",2020-10-25 22:29:03,None,,None,Providence  RI,526,81,173551,en
_1320216148932284416,_873528890794414081,"Reality is:
-many of us buy our own PPE bc hospitals don’t have supply for all
- frontline is working with less sta… https://t.co/hWr5NyZnTb",2020-10-25 04:10:32,None,,None,Philadelphia  PA,169,41,831,en
_1339918821281284096,_22203756,https://t.co/0cJWGpKE3B,2020-12-18 13:01:56,None,,None,,10831,1444,6045867,und
