id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
_1263514945087512577,_487692934,"📢ATENCIÓN NUEVA ALERTA DE PHISHING

📍Los #cibercriminales siguen acechando

#Ciberdelito
#Ciberseguridad
#CONATELHN https://t.co/7HvYxEjz6G",2020-05-21 17:00:12,None,,None,Tegucigalpa  Honduras,5,5,8609,es
_1356639826305568768,_1043654215116177411,Resulta que ahora la vacuna Rusa es la más efectiva  sirve para todas las edades y es tan tan buena que con una sol… https://t.co/HE9GuRANJB,2021-02-02 16:25:14,None,,None,Chetoslovaquia,334,77,9618,es
_1219231743124832256,_1283041712,La chanson des soignants de l'hôpital Avicenne de #Bobigny pour Emmanuel Macron #hopital https://t.co/KfHNxxmSXp,2020-01-20 12:14:34,None,,None,Paris,59,46,21232,fr
_1219231900008697856,_1283041712,Après avoir récité le serment d'Hippocrate  les soignants de l'hôpital Avicenne de #Bobigny jettent leur blouse par… https://t.co/UbARmBlQgD,2020-01-20 12:15:11,None,,None,Paris,1187,1050,21232,fr
_1352249681976418309,_201256928,"Supuestamente  Colombia recibirá en Febrero las vacunas de Covax. 

Estas vacunas (Covax) no son compradas  son las… https://t.co/BlTjTtySen",2021-01-21 13:40:22,None,,None,Colombia,4956,1994,41698,es
_1352661797271183373,_1207379169660866562,Colombia empezará la vacunación con las vacunas regaladas por el COVAX y no con las que prometió Duque en diciembre… https://t.co/6drPG4YihF,2021-01-22 16:57:58,None,,None,Bogotá,18783,7325,261167,es
_1352575164094029824,_1033675716578222080,Si COVAX son las vacunas regaladas  donde esta la plata que en teoria iba a ser destinada a la compra de las vacunas @IvanDuque ?,2021-01-22 11:13:43,None,,None,,5349,1414,8595,es
_1355284309033312263,_61380736,Our Miami Beach Firefighters have vaccinated over 1300 seniors throughout the city. Was proud to see them in action… https://t.co/FIupJ1fLCW,2021-01-29 22:38:53,None,,None,Miami Beach,8,1,1953,en
_1356379862798315522,_933407187170463746,Click here (https://t.co/6XUUaTCwHP) for my Feb. 1 @MiamiBeachNews #COVID19 update. In it I also discuss recent cri… https://t.co/eJ3Th6ayd6,2021-02-01 23:12:14,None,,None,Miami Beach  FL,10,4,4281,en
_1358707497356394498,_705694814612938752,"Q: Is the #COVID19 vaccine in Nigeria?

A: Not yet. @NigeriaGov through @NphcdaNG is leading Nigeria's efforts to a… https://t.co/IWfWRUzOQ2",2021-02-08 09:21:25,None,,None,Abuja  Nigeria,66,35,1185339,en
