id,title,checked_link,countries,date,justify,label,source,poynter_link,social_medias,tweet_id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
1, an image purportedly shows a large crowd protesting against covid19 restrictions in romania,https://checkyourfact.com/2021/02/23/fact-check-photo-protest-covid-restrictions-romania/,UnitedStates,2021-02-23,explanation the image  which dates back to 2017  actually shows romanians protesting against a decree about certain corruption offenses,FALSE, Check Your Fact,https://www.poynter.org/?ifcn_misinformation=an-image-purportedly-shows-a-large-crowd-protesting-against-covid-19-restrictions-in-romania,3,_828378186945875969,_60783724,Having won on anti-corruption  the Romanian people aren't backing down  want the government out. Bucharest now: https://t.co/nPYqWoWVdc,2017-02-05 23:02:04,None,,None,,4450,2865,558518,en
1, an image purportedly shows a large crowd protesting against covid19 restrictions in romania,https://checkyourfact.com/2021/02/23/fact-check-photo-protest-covid-restrictions-romania/,UnitedStates,2021-02-23,explanation the image  which dates back to 2017  actually shows romanians protesting against a decree about certain corruption offenses,FALSE, Check Your Fact,https://www.poynter.org/?ifcn_misinformation=an-image-purportedly-shows-a-large-crowd-protesting-against-covid-19-restrictions-in-romania,3,_828375263226449922,_213326209,Wow. Bucharest  Romania tonight. The people ask the government to leave. https://t.co/mllyuRLaLE,2017-02-05 22:50:27,None,,None,Brussels,6727,4858,11274,en
1, an image purportedly shows a large crowd protesting against covid19 restrictions in romania,https://checkyourfact.com/2021/02/23/fact-check-photo-protest-covid-restrictions-romania/,UnitedStates,2021-02-23,explanation the image  which dates back to 2017  actually shows romanians protesting against a decree about certain corruption offenses,FALSE, Check Your Fact,https://www.poynter.org/?ifcn_misinformation=an-image-purportedly-shows-a-large-crowd-protesting-against-covid-19-restrictions-in-romania,3,_828375263226449922,_213326209,Wow. Bucharest  Romania tonight. The people ask the government to leave. https://t.co/mllyuRLaLE,2017-02-05 22:50:27,None,,None,Brussels,6727,4858,11274,en
17, images of the newspaper front pages sharing vaccine misinformation,https://facta.news/immagine-modificata/2021/02/18/queste-prime-pagine-di-quotidiani-britannici-contro-i-vaccini-sono-false/,Italy- UnitedKingdom,2021-02-18,explanation these front pages are fabricated they were originally posted by a social media user with the caption now these are the headlines i would love to see,FALSE, Facta,https://www.poynter.org/?ifcn_misinformation=images-of-the-newspaper-front-pages-sharing-vaccine-misinformation,3,_1361443667219775488,_16887175,"Tuesday's Front Page: Royal Soap Oprah #TomorrowsPapersToday 

https://t.co/yD2SDCO4oa https://t.co/gHVeoc0vne",2021-02-15 22:33:59,None,,None,UK,9,5,1243928,en
17, images of the newspaper front pages sharing vaccine misinformation,https://facta.news/immagine-modificata/2021/02/18/queste-prime-pagine-di-quotidiani-britannici-contro-i-vaccini-sono-false/,Italy- UnitedKingdom,2021-02-18,explanation these front pages are fabricated they were originally posted by a social media user with the caption now these are the headlines i would love to see,FALSE, Facta,https://www.poynter.org/?ifcn_misinformation=images-of-the-newspaper-front-pages-sharing-vaccine-misinformation,3,_1361420049538375692,_4834767268,"Tuesday's front page:
‘THE FINAL’ LOCKDOWN
#tomorrowspaperstoday #BBCPapers #skypapers https://t.co/E4WH1D9SJH",2021-02-15 21:00:08,None,,None,,8,6,6590,en
31, journalist mariana gross was caught in large group celebrating flamengos win,https://piaui.folha.uol.com.br/lupa/2021/02/10/verificamos-mariana-gross-flamengo/,Brazil,2021-02-10,explanation the video is from 2019,FALSE, Agência Lupa,https://www.poynter.org/?ifcn_misinformation=journalist-mariana-gross-was-caught-in-large-group-celebrating-flamengos-win,1,_1358857599010144260,_83973513,@MaurlioDiasdeO2 Olá  Maurilio  esse vídeo foi gravado em novembro de 2019. Em Lima. Não havia epidemia ainda. Uso… https://t.co/tUChkHLS4Z,2021-02-08 19:17:52,None,,None,rio de janeiro,9,1,179555,pt
31, journalist mariana gross was caught in large group celebrating flamengos win,https://piaui.folha.uol.com.br/lupa/2021/02/10/verificamos-mariana-gross-flamengo/,Brazil,2021-02-10,explanation the video is from 2019,FALSE, Agência Lupa,https://www.poynter.org/?ifcn_misinformation=journalist-mariana-gross-was-caught-in-large-group-celebrating-flamengos-win,1,_1358857599010144260,_83973513,@MaurlioDiasdeO2 Olá  Maurilio  esse vídeo foi gravado em novembro de 2019. Em Lima. Não havia epidemia ainda. Uso… https://t.co/tUChkHLS4Z,2021-02-08 19:17:52,None,,None,rio de janeiro,9,1,179555,pt
9, a whatsapp messages asks users to fill in this form to consult your covid19 vaccination site,https://www.newtral.es/bulo-formulario-centro-vacunacion-whatsapp/20210222/,Spain,2021-02-22,explanation in spain as of february 22  2021  there is no website or tool as of february 22  2021 to indicate to citizens where they can or should be vaccinated against covid19,FALSE, Newtral.es,https://www.poynter.org/?ifcn_misinformation=a-whatsapp-messages-asks-users-to-fill-in-this-form-to-consult-your-covid-19-vaccination-site,1,_1362115735200350208,_271586275,Asimismo  haciendo uso de la tecnología  a través de un código #QR cualquier trabajador de la institución podrá ide… https://t.co/PxL8pK9bT1,2021-02-17 19:04:32,None,,None,Peru,164,42,41477,es
28, india gave mexico 870000 astrazeneca vaccines against covid19,https://www.animalpolitico.com/elsabueso/vacunas-regaladas-india-mexico-rumores-desinformacion/,Mexico,2021-02-17,"explanation mexican and indian officials have already responded that this is false

they were bought and paid for by the mexican government to the serum institute of india  the indian ambassador to mexico  manpreet vohra  clarified in a tweet",FALSE, Animal Político,https://www.poynter.org/?ifcn_misinformation=india-gave-mexico-870000-astrazeneca-vaccines-against-covid-19,1,_1363338495691878400,_525589097,Señor Tello  permitame clarificarle que las 870000 vacunas de AstraZeneca fueron compradas y pagadas por el Gobiern… https://t.co/Jd6u3tcrJM,2021-02-21 04:03:21,None,Puebla,None,Mexico City,3059,1577,13270,es
28, india gave mexico 870000 astrazeneca vaccines against covid19,https://www.animalpolitico.com/elsabueso/vacunas-regaladas-india-mexico-rumores-desinformacion/,Mexico,2021-02-17,"explanation mexican and indian officials have already responded that this is false

they were bought and paid for by the mexican government to the serum institute of india  the indian ambassador to mexico  manpreet vohra  clarified in a tweet",FALSE, Animal Político,https://www.poynter.org/?ifcn_misinformation=india-gave-mexico-870000-astrazeneca-vaccines-against-covid-19,1,_1363178552405860353,_102891072,@beltrandelrio @StratCons La vacuna de @AstraZeneca es la única que hasta el momento se produce sin fines de lucro… https://t.co/oWizb2dxB4,2021-02-20 17:27:48,None,,None,Ciudad de México,108,38,35828,es
28, india gave mexico 870000 astrazeneca vaccines against covid19,https://www.animalpolitico.com/elsabueso/vacunas-regaladas-india-mexico-rumores-desinformacion/,Mexico,2021-02-17,"explanation mexican and indian officials have already responded that this is false

they were bought and paid for by the mexican government to the serum institute of india  the indian ambassador to mexico  manpreet vohra  clarified in a tweet",FALSE, Animal Político,https://www.poynter.org/?ifcn_misinformation=india-gave-mexico-870000-astrazeneca-vaccines-against-covid-19,1,_1361025614271180804,_109651819,El embajador de India en México informa que su país ha distribuido 8 millones de vacunas a 24 países  incluyendo la… https://t.co/8uuGnmD9wQ,2021-02-14 18:52:47,None,,None,México DF,41,14,1750670,es
